er770c: -|-|-|-|-|-|
NÂº 				de registro: 5.218|5.219|5.220|5.221|5.222|5.223|5.224
Horizonte: Ap|B21t|B22t|B23t|B3ca|Cca|IICca
Profundidad 				(cm): 06-16|25-38|52-64|75-85|95-107|110-124|142+
Materia 				orgÃ¡nica (%): 5.16|1.65|1.15|0.76|0.52|0.45|0.15
N 				(%): 0.22|0.09|0.07|0.06|0.04|0.03|0.02
C/N: 14|11|10|7|8|9|4
T 				              < 2 Âµ: 26.59|47.21|42.73|41.66|34.28|31.11|28.78
E 				            2-20 Âµ: 31.74|22.33|23.82|23.26|23.66|27.02|22.89
X 				            2-50 Âµ: 68.07|48.49|53.04|53.71|60.22|63.10|66.38
T 				         50-100 Âµ: 4.93|4.07|4.00|4.34|5.17|5.51|4.57
U 				       100-500 Âµ: 0.40|0.23|0.28|0.27|0.31|0.27|0.25
R 				     500-1000 Âµ: 0.01|-|-|0.02|0.02|0.02|0.02
A: -|-|-|-|-|-|
: -|-|-|-|-|-|
CO3Ca 				(%): -|-|-|0.2|4.7|2.9|13.3
pH 				H20: 6.2|6.7|7.0|8.1|8.4|8.3|8.4
pH 				ClK: 5.4|5.2|5.4|6.9|7.1|7.1|7.2
Capacidad 				 de intercambio catiÃ³nico 				(m.e./100 g) = valor 				T: 28.90|38.60|36.20|33.70|31.50|-|-
Equival. 				de humedad (%): 29.09|43.43|39.37|36.32|32.37|31.08|32.37
