n_de_registro: 10485|10486|10487|10488|10489|10490|10491
Horizonte: A1|B1|IIA1|IIB21t|IIB22t|IIB3|IIC
Profundidad (cm): 03‑17|19‑29|40‑60|71‑81|83‑98|105‑120|140-160
Materia orgÃ¡nica (%): 3.33|2.13|1.85|0.71|0.50|0.22|0.07
C/N: 10|19|17|11|9|6|0
T              < 2 Âµ: 25.05|26.68|27.45|30.05|38.00|36.01|33.55
E            2-20 Âµ: 31.78|32.26|29.79|28.80|26.00|27.31|29.33
X            2-50 Âµ: 65.47|62.03|57.70|61.12|54.63|57.10|60.65
T        50-100 Âµ: 2.55|3.17|5.21|2.25|1.64|0.6|1.30
U      100-250 Âµ: 6.85|8.01|9.30|6.28|5.56|6.11|4.36
R    500-1000 Âµ: 0.1|0.1|0.3|0.3|0.1|0.1|0.1
A: -|-|-|-|-|-|-
CO3Ca (%): -|-|-|-|-|-|-
pH H2O: 5.8|5.9|5.7|5.8|5.9|6.2|6.2
pH ClK: 5.2|5.2|5.0|4.8|4.8|5.0|4.8
Conductividad 				elÃ©ctrica mmhos/cm: 0.547|0.400|0.408|0.485|0.476|0.454|0.431
Capacidad de intercambio  catiÃ³nico (m.e./100 g) =  valor T: 26.12|27.33|28.88|30.59|37.71|35.42|31.37
% Na/T: 1.15|1.10|1.04|1.31|1.33|1.41|1.78
Equivalente de humedad (%): 27.00|26.28|26.80|28.86|35.22|33.79|31.35
FÃ³sforo 				asimilable ppm: 9.00|3.94|3.24|1.55|0.0|0.0|0.0
