er144c: -|-|-|-|-|
NÂº de registro: 932|933|934|935|936|937
Horizonte: Ap|B1t|B21t|B22t|B31|B32
Profundidad (cm): 00-12|15-24|31-43|54-72|91-104|121-128
Mat.orgÃ¡nica (%): 3.3|3.6|1.9|1.2|0.8|0.6
N (%): 0.2|0.2|0.1|0.1|0.1|0.1
C/N: 11|12|9|7|5|5
: -|-|-|-|-|
CO3Ca (%): 0.0|0.0|0.0|0.0|0.0|0.3
pH H2O: 6.0|6.0|6.4|6.4|6.6|7.2
pH ClK: 5.2|5.3|5.3|5.5|5.6|6.4
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =  Valor T: 29.9|31.9|33.8|32.4|32.2|29.8
: -|-|-|-|-|
d       Ca ++: 20.9|25.1|27.4|26.4|27.0|-
C     e: -|-|-|-|-|
a              Mg++: 1.7|1.0|1.1|1.0|0.9|-
t      C: -|-|-|-|-|
i       a       K+: 1.1|0.9|1.2|1.1|1.1|1.0
o     m: -|-|-|-|-|
n     b       Na+: 0.4|0.2|0.3|0.4|0.3|0.3
e      i: -|-|-|-|-|
s      o       H+: 5.4|4.3|3.2|3.2|3.2|-
% Na/T: 1.3|0.6|0.8|1.2|0.9|1.0
Equivalente de humedad (%): 26.4|30.9|35.6|38.3|38.0|36.7
