n_de_registro: 30564|30565|30566|30567
Horizonte: I|II|III|IV
Profundidad 				(cm): 2-16|20-35|40-76|80-110
Mat. 				orgÃ¡nica (%): 7.07|0.55|0.26|0.33
C 				(%): 4.11|0.32|0.15|0.19
N 				(%): 0.357|0.066|-|-
C/N: 11|5|-|-
T 				                          <2 Âµ: 25.5|24.3|17.5|18.6
E 				                       2-20 Âµ: 27.0|24.7|20.0|20.5
X 				                       2-50 Âµ: 53.5|50.6|59.0|48.3
T 				                     50-74 Âµ: 15.5|15.0|16.1|23.3
U 				                   74-100 Âµ: 4.3|7.7|5.5|5.5
R 				                 100-250 Âµ: 1.2|2.4|1.1|3.4
A 				                 250-500 Âµ: -|-|-|0.9
: -|-|-|-
Gravilla 				(> 7) Tosca  Ca %: -|-|-|-
CaCO3 				 (%) V: -|-|0.8|-
Equiv. 				de humedad (%): 29.1|23.8|20.4|21.9
Resistencia 				de la pasta (Ohms/cm): 4954|5328|3085|3085
pH 				en pasta: 4.7|5.6|7.1|7.1
pH 				en agua (1 . 2,5): 5.4|6.2|7.6|7.5
pH 				en l N KCl (1: 2,5): 4.3|4.5|6.1|5.7
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: 5.1|5.5|-|5.2
Na+: 0.5|0.7|0.8|1.2
K+: 0.3|0.3|0.2|0.2
% 				Na+ 				en cambio de v. T: 1.8|4.3|5.5|8.5
% 				de agua de saturaciÃ³n: 65|49|46|40
Valor 				S (m.e./100 g): 21.4|17.3|-|15.8
H 				de cambio (m.e./100 g): 11.9|5.3|-|4.5
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 27.6|16.2|14.3|14.0
% 				de saturaciÃ³n de T: 78|100|-|100
% 				de saturaciÃ³n de S + H: 64|76|-|78
FÃ³sforo 				asimilable (ppm): 4.7|0.9|1.1|1.6
Factor 				de Humedad: 1.03|1.03|1.02|1.02
