er1142c: -|-|-|-|-|
NÂ° 				de registro: 11089|11090|11091|11092|11.93|11094
Horizonte: A11|A12|B21t|B22t|B3|C
Profundidad 				(cm: 05-12|15-25|35-60|75-90|105-115|120-130
Mat.orgÃ¡nica 				(%): 4.55|2.89|2.17|0.89|0.76|0.15
C 				(%): 2.65|1.68|1.26|0.52|0.44|0.09
N 				(%): 0.193|0.143|0.103|0.058|0.039|0.032
C/N: 13.73|11.75|12.23|8.97|11.28|2.81
T 				                        <2 Âµ: 27.15|28.22|45.02|46.02|45.22|44.14
E 				                     2-20 Âµ: 40.14|40.03|31.25|31.80|30.90|3051
X 				                     2-50 Âµ: 68.29|67.29|51.81|50.56|51.57|52.30
T 				                 50-100 Âµ: 0.97|0.44|0.33|0.65|0.41|0.43
U 				               100-250 Âµ: 3.53|4.02|2.79|2.68|2.77|3.10
R 				               250-500 Âµ: -|-|-|-|-|-
A 				             500-1000 Âµ: 0.06|0.03|0.05|0.09|0.03|0.03
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.60|0.0
PH 				H2O: 6.0|6.2|6.6|7.6|8.0|7.8
PH 				ClK: 5.1|4.9|5.2|6.1|6.7|6.1
Conductividad 				elÃ©ctrica mmhos/cm: 0.35|0.25|0.20|0.25|0.36|0.23
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T: 28.80|28.82|46.68|45.92|45.77|44.92
%Na/T: 0.04|0.03|0.03|0.03|0.03|0.04
Equivalente 				de humedad (%): 28.90|29.93|43.41|46.96|43.95|43.51
P 				disponible (ppm): 11.10|8.40|4.60|4.20|4.10|3.50
