er1103c: -|-|-|-|-|-|
NÂ° 				de registro: 8654|8655|8656|8657|8658|8659|8660
Horizonte: A1|B21t|B22t|B23ca|B31ca|B32ca|Cca
Profundidad 				(cm): 02-18|25-35|45-60|69-78|85-105|115-125|133-140
Mat.orgÃ¡nica 				(%): 6.32|3.64|2.35|1.64|0.57|0.29|0.15
N 				(%): 0.31|0.14|0.01|0.01|0.03|0.03|0.02
C/N: 11.60|4.57|22.00|13.94|9.14|4.85|3.81
T 				                        <2 Âµ: 26.74|42.35|52.43|46.80|47.70|38.05|39.92
E 				                     2-20 Âµ: 7.76|29.28|21.94|29.20|25.71|31.20|31.98
X 				                    2-50  Âµ: 61.90|47.47|35.90|44.18|44.01|55.57|54.94
T 				                 50-100 Âµ: 1.87|2.00|1.40|1.51|1.30|1.00|1.09
U 				               100-500 Âµ: 9.06|7.80|9.89|7.06|6.60|4.80|3.89
R 				             500-1000 Âµ: 0.36|0.35|0.33|0.31|0.30|0.22|0.10
A 				           1000-2000 Âµ: 0.07|0.03|0.05|0.14|0.09|0.36|0.01
CO3Ca 				(%): -|-|-|-|4.04|3.30|2.17
pH 				H2O: 5.5|5.8|6.7|7.8|8.0|8.0|8.0
pH 				ClK: 4.9|5.1|5.6|6.9|6.9|6.9|6.8
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor T: 34.40|36.60|40.50|37.30|38.90|35.30|36.40
% 				Na/T: 3.49|3.55|3.70|3.75|5.14|5.38|5.22
Equivalente 				de  humedad  (%): 34.23|37.71|47.43|44.26|43.70|42.22|42.92
FÃ³sforo 				asimilable ppm: -|-|-|-|-|-|-
