328c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: A1|IIC1|IIIC2|IVC3
Profundidad 				(cm): 3-7|14-24|30-70|95-120
Mat. 				orgÃ¡nica (%): 7.40|2.19|0.47|-
C 				(%): 4.29|1.27|0.27|-
N 				(%): 0.416|0.143|-|-
C/N: 10|9|-|-
T 				                               <2 Âµ: 28.8|28.3|28.6|26.0
E 				                            2-20 Âµ: 41.8|47.3|45.7|50.2
X 				                           2-50 Âµ: 66.0|66.0|69.0|70.4
T 				                         50-74 Âµ: 0.5|1.4|0.8|1.9
U 				                       74-100 Âµ: 1.7|2.9|0.9|0.6
R 				                     100-250 Âµ: 2.5|1.1|0.2|0.9
A 				                     250-500 Âµ: 0.5|0.3|0.2|0.2
500-1000 Âµ: -|-|-|-
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|vest 				(n)|0.3|vest 				(n)
Equivalente 				de humedad  (%): 30.4|30.1|30.2|33.1
Resistencia 				de la pasta (Ohms/cm): 3155|701|189|196
pH 				en pasta: 5.3|6.2|7.4|7.3
pH 				en agua (1:2,5): 6.2|7.1|7.5|7.5
pH 				en KCl (1:2,5): 4.5|5.5|7.0|6.7
Conductividad 				(mmhos/cm): -|2.99|17.73|15.97
Mg++: 7.3|-|-|-
Na+: 0.7|3.3|-|-
K+: 0.4|0.2|-|-
H+: 15.2|-|-|-
Na+ 				% del valor T: 3|13|-|-
Suma 				de bases, m.e./100 gr (S): 16.6|-|-|-
C.I.C., 				m.e./100 gr (T): 23.0|25.3|-|-
SaturaciÃ³n 				con bases, (%) (S/T): 72|-|-|-
