er759c: -|-|-|-|-|
NÂº 				de registro: 6.083|6.084|6.085|6.086|6.087|6.088
Horizonte: A1|B21t|B22t|B31ca|B32ca|Cca
Profundidad 				(cm): 00‑10|15‑30|37‑48|53‑64|70‑80|125+
Materia 				orgÃ¡nica (%): 4.01|2.83|1.67|1.17|0.62|0.64
N 				(%): 0.29|0.13|0.10|0.07|0.03|0.03
C/N: 8|12|9|10|11|12
T 				                  < 2 Î¼: 29.12|39.44|42.14|46.46|40.91|38.21
E 				                2-20 Î¼: 37.61|37.37|35.48|33.82|30.53|34.02
X 				               2-50 Î¼: 69.52|59.11|57.00|52.61|57.91|57.62
T 				            50-100 Î¼: 0.66|0.87|0.44|0.33|0.31|0.30
U 				          100-250 Î¼: 0.66|0.56|0.40|0.52|0.78|3.84
R 				          250-500 Î¼: 0.00|0.00|0.00|0.00|0.00|0.00
A 				        500-1000 Î¼: 0.04|0.02|0.02|0.08|0.09|0.03
CO3Ca 				(%): -|-|2.8|1.9|1.7|14.6
pH 				H2O: 6.4|7.9|8.1|8.2|7.6|8.3
pH 				ClK: 5.4|6.6|6.9|7.0|7.0|7.1
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 25.14|23.46|25.06|28.54|20.97|16.57
d 				    Ca++: 10.21|15.37|15.76|14.47|N.D|11.84
C 				 e: -|-|-|-|-|
a 				         Mg++: 3.54|3.24|3.44|3.62|N.D|1.58
t 				   c: -|-|-|-|-|
i 				   a     K+: N.D.|N.D.|N.D.|N.D.|N.D.|N.D.
o 				  m: -|-|-|-|-|
n 				  b     Na+: N.D.|N.D.|N.D.|N.D.|N.D.|N.D.
e 				  i: -|-|-|-|-|
s 				  o     H+: 5.05|1.26|1.68|0.84|0.84|0.84
Equivalente 				de humedad (%): 32.81|44.49|44.25|41.44|36.03|34.22
P 				asimilable (ppm): 4.24|4.35|3.49|3.46|4.34|4.27
