er794c: -|-|-|-|-|
NÂº 				de registro: 10.317|10.318|10.319|10.320|10.321|10.322
Horizonte: Ap|B21|B22|B3ca|C1ca|C2ca
Profundidad 				(cm): 05-15|25-30|42-50|53-60|70-77|90-110
Materia 				orgÃ¡nica (%): 4.76|1.92|0.99|0.92|0.64|0.57
N 				(%): 0.27|0.14|0.08|0.08|0.05|0.05
C/N: 10|8|7|7|7|7
T 				               < 2 Âµ: 27.92|33.20|31.54|31.10|27.27|26.99
E 				             2-20 Âµ: 24.46|23.93|25.49|25.51|25.01|25.14
X 				            2-50 Âµ: 61.94|59.40|59.45|58.28|63.72|63.47
T 				         50-100 Âµ: 4.20|4.76|3.50|6.91|6.71|6.05
U 				       100-500 Âµ: 5.91|2.60|5.47|3.69|2.28|3.44
R 				     500-1000 Âµ: 0.03|0.04|0.04|0.02|0.02|0.05
A: -|-|-|-|-|
: -|-|-|-|-|
CO3Ca 				(%): 0.0|0.0|0.0|0.5|9.4|9.5
pH 				H20: 6.0|6.2|6.5|7.3|7.6|7.6
pH 				ClK: -|-|-|-|-|-
Capacidad 				de intercambio catiÃ³nico 				(m.e./100 g) = valor 				T: 38.10|31.60|31.20|N.D.|N.D.|N.D.
Equival. 				de humedad (%): 29.01|34.31|29.98|28.45|25.33|25.60
FÃ³sforo 				asimilable (ppm): 74.90|29.66|6.28|5.56|0.0|0.0
