352c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: A1|IIB21|IIB22|IIB3
Profundidad 				(cm): 2-6|25-45|70-85|110-130
Mat. 				orgÃ¡nica (%): 3.48|1.4|0.53|-
C 				(%): 2.02|0.84|0.31|-
N 				(%): 0.291|0.084|0.046|-
C/N: 10|11|8|-
T 				                              <2 Âµ: 28.3|30.9|43.2|33.6
E 				                           2-20 Âµ: 20.6|24.7|18.3|25.4
X 				                           2-50 Âµ: 48.6|46.1|38.1|44.2
T 				                         50-74 Âµ: 7.4|8.5|8.7|8.4
U 				                      74-100 Âµ: 1.7|1.7|2.1|2.9
R 				                    100-250 Âµ: 8.4|7.2|5.4|6.5
A 				                    250-500 Âµ: 4.7|4.5|1.8|3.7
500-1000 Âµ: 0.9|1.1|0.2|0.7
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|vest.|0.5|0
Equivalente 				de humedad  (%): 23.4|26.7|48.6|35.2
Resistencia 				de la pasta (Ohms/cm): 2111|1088|536|633
pH 				en pasta: 6.8|7.7|7.8|7.4
pH 				en agua (1:2,5): 7.2|8.5|8.6|8.3
pH 				en KCl (1:2,5): 5.7|6.7|7.1|6.4
Conductividad 				(mmhos/cm): -|2.01|4.85|3.27
Mg++: 6.2|-|-|7.5
Na+: 2.3|6.8|13.1|11.1
K+: 1.1|1.1|2.4|2.0
H+: 4.3|-|-|2.8
Na+ 				% del valor T: 14|36|52|45
Suma 				de bases, m.e./100 gr (S): 15.5|-|-|26.2
C.I.C., 				m.e./100 gr (T): 15.9|19.0|25.4|24.5
SaturaciÃ³n 				con bases, (%) (S/T): 97|-|-|100
