er79c: -|-|-|-|
NÂº 				de registro: 3.097|3.098|3.099|3.100|3.101
Horizonte: A1|B21t|B22t|B3|C
Profundidad 				(cm): 02-10|20-40|47-65|69-80|95-100
Materia 				orgÃ¡nica (%): 3.89|1.78|1.54|1.05|0.48
N 				(%): 0.14|0.07|0.05|0.04|0.03
C/N: 16|15|15|15|9
T 				            < 2 Î¼: 31.92|46.07|48.45|52.68|45.76
E 				          2-20 Î¼: 41.02|34.68|32.96|31.60|38.01
X 				         2-50 Î¼: 67.39|53.42|51.03|47.01|53.78
T 				      50-100 Î¼: 0.06|0.11|0.13|0.06|0.04
U 				    100-250 				Î¼: 0.32|0.20|0.21|0.13|0.26
R 				    250-500 				Î¼: 0.28|0.19|0.17|0.12|0.14
A 				  500-1000 Î¼: 0.03|0.01|0.01|N.D.|0.02
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.1
pH 				H2O: 4.9|6.1|7.1|7.6|7.3
pH 				ClK: 4.8|5.6|6.3|6.5|6.3
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 20.74|28.24|32.44|35.55|30.36
d 				    Ca++: 14.44|25.74|29.90|26.30|20.11
C 				 e: -|-|-|-|
a 				         Mg++: 3.71|1.11|0.47|1.94|1.85
t 				   c: -|-|-|-|
i 				   a     K+: 0.05|0.06|0.06|0.08|0.08
o 				  m: -|-|-|-|
n 				  b     Na+: 1.20|1.05|1.45|1.50|1.40
e 				  i: -|-|-|-|
s 				  o     H+: 1.34|0.28|1.06|5.73|6.66
P 				asimilable (ppm): 2.85|2.07|1.83|3.56|4.43
