er1125c: -|-|-|-|-|
NÂ° 				de registro: 10731|10732|10733|10734|10735|10736
Horizonte: A1|B21t|B22tca|B31ca|B32ca|Cca
Profundidad 				(cm): 02-12|17-45|55-80|90-110|118-130|140-150
Mat.orgÃ¡nica 				(%): 4.93|2.14|1.24|0.52|0.45|0.15
C 				(%): 2.87|1.24|0.72|0.31|0.26|0.09
N 				(%): 0.232|0.127|0.065|0.037|0.034|0.017
C/N: 12.37|9.76|11.08|8.38|7.65|5.29
T 				                        <2 Âµ: 34.86|47.70|45.01|40.01|39.88|39.94
E 				                     2-20 Âµ: 31.67|28.39|29.98|30.12|30.87|30.80
X 				                     2-50 Âµ: 58.98|48.88|51.69|55.11|56.56|56.41
T 				                 50-100 Âµ: 1.39|0.66|0.71|1.25|0.96|1.24
U 				               100-250 Âµ: 4.61|2.67|2.46|3.53|2.47|2.37
R 				               250-500 Âµ: -|-|-|-|-|-
A 				             500-1000 Âµ: 0.13|0.05|0.08|0.07|0.11|0.04
1000-2000 				Âµ: 0.03|0.04|0.05|0.03|0.02|-
CO3Ca 				(%): 0.0|0.0|2.6|7.7|7.2|6.0
PH 				H2O: 5.8|6.9|8.3|8.6|8.2|8.6
PH 				ClK: 5.0|5.3|6.8|7.1|7.1|7.0
Conductividad 				elÃ©ctrica CE 1:4 - ÂµS 				cm-1: 86.30|85.10|176.00|181.90|183.00|171.30
Capacidad 				de intercambio catiÃ³nico (cmol(c)kg-1) =  Valor 				T: 32.20|39.01|37.81|35.85|35.72|35.58
% 				Na/T: -|-|-|-|-|
Equivalente 				de  humedad  (%): 32.93|49.95|47.09|42.03|41.59|41.84
P 				disponible  (ppm): 9.70|5.90|5.50|4.90|4.70|4.30
