er3_56c: -|-|-|-|
Horizonte: A1|B21|B22ca|B31ca|B32ca
Profundidad 				(cm): 0-14|26-40|48-57|67-80|93-106
Mat.orgÃ¡nica 				(%): 3,70|1,91|1,57|1,29|1,09
C 				(%): 2,15|1,11|0,92|0,75|0,63
N 				(%): 0,20|0,17|0,18|0,18|ND
C/N: 11,0|7,0|5,0|4,2|ND
: -|-|-|-|
CO3Ca 				(%): 0,0|0,0|3,9|9,3|5,5
% 				SaturaciÃ³n de Agua: 38,3|74,6|81,6|66,9|76,2
Equivalente 				de Humedad (%): 18,6|38,0|42,0|35,5|37,2
pH 				en pasta: 5,0|7,5|5,4|8,0|8,2
pH 				en agua (1:2,5): 6,0|7,6|8,4|8,5|8,5
pH 				en ClK (1:2,5): 4,7|5,7|7,0|7,1|7,1
Conductividad 				(mmhos/cm): -|-|-|-|-
Sales 				solubles grs (%): -|-|-|-|-
Resistencia 				en pasta: 1352|503|454|436|575
Mg 				++: 1,6|0,4|2,2|3,0|2,8
Na 				++: 0,22|0,98|0,18|2,5|2,3
K 				++: 0,07|0,22|0,08|0,15|0,1
Valor 				S (m.e./ 100 gr.): 22,4|35,0|44,4|32,6|39,6
H 				de cambio (m.e. / 100 gr.): 3,2|2,7|ND|ND|ND
Valor 				T (m.e. / 100 gr): 26,4|37,9|45,8|34,9|39,9
% 				de saturaciÃ³n de T: 85,1|92,3|97,0|93,5|99,2
% 				de saturaciÃ³n de S + H: -|-|-|-|
% 				Na / T: 0,8|2,6|0,4|7,2|5,8
