85c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: O2|A1|IIC1|IIIC2
Profundidad 				(cm): 5-2|2-22|30-50|80-100
Mat. 				orgÃ¡nica (%): -|1.29|0.38|-
C 				(%): 11.50|0.75|0.22|-
N 				(%): 1.166|0.074|-|-
C/N: 10|10|-|-
T 				                                <2 Âµ: -|28.5|23.1|15.2
E 				                             2-20 Âµ: -|47.7|49.3|56.9
X 				                             2-50 Âµ: -|69.0|74.5|81.4
T 				                           50-74 				Âµ: -|1.1|1.1|1.7
U 				                         74-100 Âµ: -|1.1|1.1|1.2
R 				                       100-250 Âµ: -|0.2|0.1|0.4
A 				                       250-500 Âµ: -|0.1|0.1|0.1
500-1000 Âµ: -|-|-|-
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|0|0|0
Equivalente 				de humedad  (%): 67.0|31.1|29.1|27.9
Resistencia 				de la pasta (Ohms/cm): 592|370|188|210
pH 				en pasta: 5.1|6.4|6.5|6.6
pH 				en agua (1:2,5): 5.4|7.2|7.0|7.0
pH 				en KCl (1:2,5): 4.7|6.0|6.2|6.0
Conductividad 				(mmhos/cm): 3.83|18.04|24.38|23.43
Mg++: -|-|-|-
Na+: -|-|-|-
K+: -|-|-|-
H+: -|-|-|-
Na+ 				% del valor T: -|-|-|-
Suma 				de bases, m.e./100 gr (S): -|-|-|-
C.I.C., 				m.e./100 gr (T): -|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T): -|-|-|-
