er153c: -|-|-|-|-|
NÂ° 				registro: 1.072|1.073|1.074|1.075|1.076|1.077
Horizonte: Ap|B1|B21t|B22t|B31ca|B32ca
Profundidad 				(cm): 0-12|14-23|37-48|6270|80-90|105-120
Mat. 				orgÃ¡nica (%): 4.0|3.6|2.6|1.7|1.3|0.8
N 				(%): 0.21|0.17|0.12|0.10|0.09|0.04
C/N: 11|12|12|10|9|10
T 				                < 2 Âµ: 30.5|36.6|51.4|47.7|46.9|39.0
E 				              2-20 Âµ: 22.0|24.0|22.5|17.2|17.7|25.0
X 				             2-50 Âµ: 68.1|62.6|47.7|51.2|52.1|59.8
T 				         50-100 Âµ: 0.7|1 				0|0.7|0.8|0.7|0.8
U 				       100-500 Âµ: 0.7|0.8|0.2|0.3|0.3|0.4
R 				     500-1000 Âµ: 0.0|0.0|0.0|0.0|0.0|0.0
A 				   1000-2000 Âµ: -|-|-|-|-|-
CO3Ca 				(%): 0.0|0.0|0.0|0.2|1.5|0.9
pH 				H2O: 6.8|6.7|7.0|7.7|8.0|8.0
pH 				ClK: 6.0|5.8|5.9|6.5|5.8|6.8
Capacidad 				de intercambio  catiÃ³nico 				(meq/100 g) = valor 				T: 38.8|37.8|48.4|45.8|43.7|42.1
d 				  Ca++: 32.1|31.8|42.0|-|-|-
C 				 e: -|-|-|-|-|
a 				       Mg++: 1.8|2.4|3.1|-|-|-
t 				   c: -|-|-|-|-|
i 				   a   K+: 1.3|1.1|1.1|1.0|1.1|1.1
o 				  m: -|-|-|-|-|
n 				  b   Na+: 0.3|0.4|0.9|1.0|1.3|1.1
e 				  i: -|-|-|-|-|
s 				  o   H+: 3.2|3.3|2.9|-|-|-
% 				Na/T: 0.8|1.1|1.9|2.2|3.0|2.6
Equiv. de humedad (%): 36.9|38.1|52.1|51.5|49.4|47.9
FÃ³sforo 				asimilable (ppm): 10.54|4.35|3.03|2.39|2.35|2.34
