valor_t: -|-|430|460|nd|nd|nd
: -|-|-|-|-|-|
: d|Ca++|30.60|32.00|ND|ND|ND
C: e|-|-|-|-|-|
A: -|Mg++|1.6|2.0|ND|ND|ND
T: c|-|-|-|-|-|
I: a|K+|2.7|1.7|ND|ND|ND
O: m|-|-|-|-|-|
N: b|Na+|1.0|2.0|ND|ND|ND
E: i|-|-|-|-|-|
S: o|H+|5.5|5.5|ND|ND|ND
% 			Na/T: -|-|2.3|4.3|ND|ND|ND
