72c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: O1|A1|IIC1|IIIC2
Profundidad 				(cm): 23-3|5-25|30-50|60-80
Mat. 				orgÃ¡nica (%): -|5.36|0.55|-
C 				(%): -|3.11|0.32|-
N 				(%): -|0.412|0.041|-
C/N: -|8|8|-
T 				                              <2 Âµ: -|50.2|26.5|17.0
E 				                           2-20 Âµ: -|30.4|49.4|47.3
X 				                           2-50 Âµ: -|48.3|70.9|78.8
T 				                         50-74 Âµ: -|0.7|1.3|2.1
U 				                      74-100 Âµ: -|0.6|1.1|1.3
R 				                    100-250 Âµ: -|0.1|0.1|0.5
A 				                    250-500 Âµ: -|0.1|0.1|0.3
500-1000 Âµ: -|-|-|-
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|0|0|0
Equivalente 				de humedad  (%): 75.0|49.7|29.5|31.1
Resistencia 				de la pasta (Ohms/cm): 1303|2541|2103|2383
pH 				en pasta: 5.5|5.8|6.9|6.9
pH 				en agua (1:2,5): 5.8|6.3|8.2|8.0
pH 				en KCl (1:2,5): 4.8|4.8|5.9|5.9
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: -|6.9|7.9|5.9
Na+: -|2.5|1.8|1.5
K+: -|0.6|0.4|0.2
H+: -|15.5|4.0|3.5
Na+ 				% del valor T: -|6|7|7
Suma 				de bases, m.e./100 gr (S): -|32.0|23.9|21.6
C.I.C., 				m.e./100 gr (T): -|42.2|24.4|22.1
SaturaciÃ³n 				con bases, (%) (S/T): -|76|98|98
