n_de_registro: 21376|21377|21378|21379|21380
Horizonte: A11|II|III|IV|V
Profundidad 				(cm): 5-15|20-35|40-55|65-80|110-130
Mat. 				orgÃ¡nica (%): 5.56|0.31|0.26|-|-
C 				(%): 3.23|0.18|0.15|-|-
N 				(%): 0.238|-|-|-|-
C/N: 14|-|-|-|-
T 				                          <2 Âµ: 31.7|22.1|21.2|21.9|18.5
E 				                       2-20 Âµ: 30.2|29.5|19.6|23.7|14.5
X 				                       2-50 Âµ: 55.1|64.5|52.1|57.8|49.4
T 				                     50-74 Âµ: 8.4|9.7|17.0|14.6|22.0
U 				                   74-100 Âµ: 4.5|2.8|9.2|5.2|9.4
R 				                 100-250 Âµ: 0.2|0.5|0.4|0.4|0.5
A 				                 250-500 Âµ: 0.1|0.1|0.1|0.1|0.2
: -|-|-|-|
Gravilla 				(> 7) Tosca  Ca %: -|-|-|-|-
CaCO3 				 (%) V: 0|0.3|vest 				(n)|0|0
Equiv. 				de humedad (%): 32.3|21.3|17.4|18.9|14.3
Resistencia 				de la pasta (Ohms/cm): 2896|3041|4054|4344|4489
pH 				en pasta: 5.8|6.9|7.4|7.1|7.9
pH 				en agua (1 . 2,5): 6.4|7.5|7.6|7.6|8.1
pH 				en l N KCl (1: 2,5): 5.2|6.2|6.2|5.9|6.4
Conductividad 				(mmhos/cm): -|-|-|-|-
Mg++: 8.5|-|-|5.4|3.2
Na+: 0.4|0.9|0.7|0.8|3.3
K+: 0.5|0.2|0.1|0.1|0.1
% 				Na+ 				en cambio de v. T: 1.3|3.7|4.3|5.0|20.2
% 				de agua de saturaciÃ³n: 60|47|44|45|42
Valor 				S (m.e./100 g): 27.9|-|-|15.0|15.6
H 				de cambio (m.e./100 g): 10.5|-|-|2.2|-
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 30.5|24.5|16.3|15.9|16.3
% 				de saturaciÃ³n de T: 91|-|-|94|96
% 				de saturaciÃ³n de S + H: 73|-|-|87|-
FÃ³sforo 				asimilable (ppm): -|-|-|-|-
Factor 				de humedad: 1.05|10.2|1.02|1.02|1.02
