er630c: -|-|-|-|
NÂ° de registro: 4861|4862|4863|4864|4865
Horizonte: Ap|B21t|B22t|B3ca|B3tca
Profundidad (cm: 03-11|20-30|40-50|75-85|100-110
Mat.orgÃ¡nica (%): 4.81|2.85|1.05|0.97|0.30
N (%): 0.208|0.131|0.055|0.052|0.017
C/N: 13.5|12.7|11.1|11.0|10.0
T       				                    <2 Âµ: 30.25|38.86|44.18|44.11|43.18
E                        				2-20 Âµ: 28.17|25.60|24.06|23.18|24.00
X                       				2-50 Âµ: 67.92|55.68|54.12|54.56|55.57
T                   50-100 				Âµ: 0.24|0.28|0.52|0.35|0.32
U                 100 500 				Âµ: 1.57|1.17|1.16|0.96|0.91
R               500-1000 Âµ: 0.02|0.01|0.02|0.02|0.02
A             1000-2000 Âµ: 0.00|0.00|0.00|0.00|0.00
CO3Ca 				(%): -|-|-|4.65|2.71
pH H2O: 6.6|6.5|7.0|7.9|7.8
pH ClK: 5.9|5.9|6.0|6.9|6.8
C.E. (mmhos/cm): 0.224|0.293|0.290|0.243|0.241
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =  valor T: 31.12|38.42|46.28|46.93|44.10
% Na/T: 3.95|3.46|4.47|5.60|6.35
Equivalente 				de humedad (%): 33.43|40.93|46.59|43.94|42.19
P asimilable (ppm): 10.35|8.71|5.46|4.93|3.71
