313c_inta_castelar: -|-|-|-|-|
NÂ° 				de registro: -|-|-|-|-|
Horizonte: A11|A12|IIC1|IIIC2|IVC3|IVC4
Profundidad 				(cm): 5-10|20-30|36-42|48-55|58-64|70-100
Mat. 				orgÃ¡nica (%): 1.9|1.13|0.43|0.39|0.74|-
C 				(%): 1.05|0.66|0.25|0.23|0.47|-
N 				(%): 0.138|0.088|-|-|0.052|-
C/N: 8|7|-|-|9|-
T 				                              <2 Âµ: 15.4|14.9|25.3|11.2|22.6|24.4
E 				                           2-20 Âµ: 11.1|10.3|10.4|1.5|2.7|4.8
X 				                           2-50 Âµ: 14.1|13.6|12.5|4.2|6.8|9.3
T 				                         50-74 Âµ: 0.8|1.3|0.4|0.2|0.4|4.0
U 				                      74-100 Âµ: 2.6|2.6|1.2|0.6|1.0|11.0
R 				                    100-250 Âµ: 48.7|46.5|45.4|67.2|60.4|42.8
A 				                    250-500 Âµ: 16.9|20.6|14.3|16.2|8.0|8.3
500-1000 Âµ: 1.5|0.5|0.9|0.4|0.8|0.2
1000-2000 Âµ: -|-|-|-|-|-
: -|-|-|-|-|
CO3Ca 				(%): 0|0|0|0|0|0
Equivalente 				de humedad (%): 12.6|12.0|17.3|5.4|16.8|18.2
Resist. 				de la pasta (Ohms/cm): 5280|9240|6402|15180|5016|3505
pH 				en pasta: 5.1|4.8|5.0|5.4|5.5|5.7
pH 				en agua (1:2,5): 6.0|6.0|6.3|6.5|6.9|7.2
pH 				en KCl (1:2,5): 4.7|4.0|4.2|4.4|4.5|4.8
Conductividad 				(mmhos/cm): -|-|-|-|-|-
Mg++: 0.8|2.1|4.6|1.05|4.5|5.3
Na+: 0.3|0.3|0.5|0.10|0.4|0.5
K+: 0.7|0.8|1.0|0.10|0.7|0.8
H+: 8.5|9.5|9.0|2.40|7.1|5.7
Na+ 				% del valor T: 3|3|4|2|3|3
Suma 				de bases, m.e./100 gr (S): 5.7|6.5|13.2|3.40|12.6|13.7
C.I.C., 				m.e./100 gr (T): 8.8|9.0|16.3|4.10|14.2|15.7
SaturaciÃ³n 				con bases, (%) (S/T): 65|72|81|83|89|87
