er213c: -|-|-|-|-|-|
NÂ° 				de registro: 226|227|228|229|230|231|232
Horizonte: A1|B1|B21t|B22t|B31ca|B32ca|Cca
Profundidad 				(cm): 00-06|06-15|15-27|31-41|46-62|72-84|93-100
Mat.orgÃ¡nica 				(%): 4.40|3.91|3.48|2.09|0.90|N.D.|N.D.
N 				(%): 0.270|0.240|0.200|0.420|0.070|N.D.|N.D.
C/N: 10|9|10|10|7|N.D.|N.D.
T 				                        <2 Âµ: 29.80|34.40|39.60|53.10|43.10|N.D.|N.D.
E 				                     2-20 Âµ: 24.20|28.30|26.90|16.10|15.90|N.D.|N.D.
X 				                     2-50 Âµ: 51.90|50.10|46.30|36.30|44.70|N.D.|N.D.
T 				                 50-100 Âµ: 3.50|2.70|2.70|2.00|2.40|N.D.|N.D.
U 				               100-250 Âµ: 7.90|6.90|6.10|4.60|4.90|N.D.|N.D.
R 				               250-500 Âµ: 6.30|5.50|4.80|3.60|4.20|N.D.|N.D.
A 				            500-1000 Âµ: 0.60|0.40|0.50|0.40|0.70|N.D.|N.D.
CO3Ca 				(%): -|-|-|-|-|-|-
pH 				H2O: 6.0|6.3|6.3|7.1|7.7|7.9|7.9
pH 				ClK: 5.7|5.9|5.9|6.2|6.5|6.8|6.8
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor T: 32.70|37.00|40.40|48.80|44.40|32.40|32.70
% 				Na/T: -|-|-|-|0.02|0.04|0.04
Equivalente 				de humedad (%): -|-|-|-|-|-|-
P 				disponible (ppm): -|-|-|-|-|-|-
