er1138c: -|-|-|-|
NÂ° 				de registro: 11063|11064|11065|11066|11067
Horizonte: A1|B21t|B22t|B3ca|Cca
Profundidad 				(cm): 05-15|20-40|46-70|80-100|135-140
Mat.orgÃ¡nica 				(%): 5.62|3.23|2.30|1.58|0.57
C 				(%): 3.27|1.88|1.34|0.92|0.33
N 				(%): 0.281|0.136|0.102|0.057|0.034
C/N: 11.64|13.82|13.14|16.14|9.71
T 				                        <2 Âµ: 40.15|47.48|49.45|47.50|45.02
E 				                     2-20 Âµ: 30.00|28.25|32.20|30.20|30.01
X 				                     2-50 Âµ: 57.51|50.46|48.65|50.61|52.53
T 				                 50-100 Âµ: 0.45|0.40|0.51|0.36|0.58
U 				               100-250 Âµ: 1.86|1.59|1.37|1.44|1.85
R 				               250-500 Âµ: -|-|-|-|-
A 				             500-1000 Âµ: 0.03|0.07|0.02|0.09|0.02
CO3Ca 				(%): 0.0|0.0|0.0|1.02|1.03
PH 				H2O: 7.3|7.5|7.8|8.5|8.6
PH 				ClK: 6.4|6.1|6.4|7.2|7.2
Conductividad 				elÃ©ctrica mmhos/cm: 0,88|0,54|0,42|0,54|0,45
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T: 39,80|40,02|46,40|45,60|40,60
Equivalente 				de humedad (%): 41.16|49.40|50.19|45.23|42.58
P 				disponible (ppm): 11.70|5.50|5.30|4.10|4.00
