n_de_registro: 6975|6976|6978|6979|6980|6981
Horizonte: A11|A12|B21t|B22t|B3Ca|Cca
Profundidad (cm): 01‑10|10‑20|29‑39|50-62|85‑100|110‑118
Materia orgÃ¡nica (%): 4.74|4.69|2.63|1.48|0.74|0.37
N (%): 0.24|0.22|0.07|0.08|0.06|0.03
C/N: 11.00|12.00|21.20|9.40|7.10|5.90
T       				            < 2 Âµ: 31.47|34.20|45.93|44.15|36.40|38.19
E                 2-20 Âµ: 22.87|20.26|39.30|39.90|41.72|42.01
X                 2-50 Âµ: 55.82|57.39|47.81|50.06|58.10|54.08
T             50-100 Âµ: 8.58|3.79|2.21|2.83|1.50|2.57
U          100-500 Âµ: 4.09|4.43|4.01|2.94|3.89|5.06
R        500-1000 Âµ: 0.04|0.19|0.04|0.02|0.11|0.10
A: -|-|-|-|-|-
CO3Ca 				(%): ‑|‑|‑|‑|2.43|0.79
pH H2O: 6.3|5.9|6.1|6.9|7.7|7.9
pH ClK: 5.2|5.0|5.3|5.5|6.0|6.4
C.E. (mmhos/cm): 0.73|0.59|0.94|0.95|0.99|0.83
Capacidad de intercambio  CatiÃ³nico (meq/100 g) =  valor T: 30.80|34.30|44.90|43.90|35.60|36.33
% Na/T: 0.97|1.46|1.63|1.57|1.71|1.87
Equivalente de humedad (%): 28.96|30.41|43.76|41.60|34.86|35.64
