horizonte||e|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0 - 14|14 - 44|44 - 80|80 - 130|130 - 168|168 - 225|225 - 300
Mat. orgánica|%|1.60|1.26|0.21|---|---|---|---
C orgánico|%|0.93|0.73|0.12|---|---|---|---
N total|%|0.095|0.098|0.044|0.036|0.04|0.03|0.033
Relación C/N|---|10|7|3|---|---|---|---
Arcilla < 2µ|%|23.1|50.9|50.8|47.0|43.4|37.9|---
Limo 2-50µ|%|70.8|46.2|46.5|49.9|52.8|58.0|---
Arena >50µ|%|6.1|2.9|2.8|3.1|3.9|4.0|---
TOTAL|%|100.0|100.0|100.1|100.0|100.1|99.9|---
Limo 2-20µ|%|||||||
Arena:||||||||
Muy fina 50-100µ|%|4.3|2.0|2.0|2.3|2.9|2.9|---
Fina 100-250µ|%|1.8|0.9|0.8|0.8|1.0|1.1|---
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|---
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|---
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|---
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|5 411|541|458|583|749|790|707
Conductividad|mmhos/cm|---|3.5|3.9|2.4|0.5|0.3|1.4
pH pasta (1:1)|---|5.9|7.4|7.9|8.0|8.2|8.4|8.6
pH agua (1:2,5)|---|6.0|7.9|8.6|8.7|8.7|9.1|9.4
pH 1N ClK (1:2,5)|---|5.0|6.5|6.9|6.9|6.7|6.9|7.6
Ca++ intercambio|me/100g|3.4|7.3|8.4|8.8|6.5|5.2|11.0
Mg++ intercambio|me/100g|2.4|4.2|5.2|2.7|3.9|3.3|7.6
Na+ intercambio|me/100g|1.6|5.6|7.0|7.0|7.8|7.0|8.0
K+ intercambio|me/100g|1.2|1.4|3.4|3.4|4.3|3.4|3.5
H+ intercambio|me/100g|3.0|---|---|---|---|---|---
(Na+/T)|%|16.0|27.9|31.4|31.3|33.9|34.5|28.7
C.I.C., (T)|me/100g|10.0|20.1|22.3|22.4|23.0|20.3|27.9
Suma bases (S)|me/100g|8.6|18.5|24.0|21.9|22.5|18.9|30.1
Sat.bases, (S/T)|%|86|92|108|98|98|93|108
