horizonte||a|be|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0-36|36-62|62-110|110-155|155-205|205-270|270-300
Mat. orgánica|%|3.62|1.84|0.90|0.38|0.31|0.19|0.19
C orgánico|%|2.10|1.07|0.52|0.22|0.18|0.11|0.11
N total|%|0.151|0.086|0.057|0.040|0.04|0.03|0.02
Relación C/N|---|14|12|9|6|5|4|5
Arcilla < 2µ|%|37.0|39.2|54.5|45.9|35.2|20.9|31.3
Limo 2-50µ|%|61.0|58.8|44.4|52.6|61.4|65.6|63.2
Arena >50µ|%|2.0|2.0|1.1|1.5|3.4|13.5|5.5
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|40.1|38.7|28.5|31.4|38.1|43.1|40.7
Arena:||||||||
Muy fina 50-100µ|%|1.7|1.8|1.0|1.3|2.9|8.9|4.0
Fina 100-250µ|%|0.2|0.2|0.1|0.2|0.5|0.2|1.4
Media 250-500µ|%|0.1|0.0|0.0|0.0|0.0|4.4|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|1.1
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|1 384|1 297|1 136|1 188|1 240|1 292|1 240
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.0|6.0|6.2|6.5|6.8|7.3|7.8
pH agua (1:2,5)|---|6.1|6.2|6.4|6.8|7.1|7.5|8.1
pH 1N ClK (1:2,5)|---|5.1|5.1|5.2|5.4|5.7|5.9|7.0
Ca++ intercambio|me/100g|16.0|14.8|21.3|20.4|19.8|18.5|18.3
Mg++ intercambio|me/100g|1.8|1.8|3.9|2.7|3.6|4.9|5.9
Na+ intercambio|me/100g|0.8|0.6|1.1|0.9|1.0|0.8|1.3
K+ intercambio|me/100g|1.8|1.5|2.3|2.4|2.4|2.4|2.4
H+ intercambio|me/100g|4.2|4.5|4.4|2.6|1.8|1.8|0.0
(Na+/T)|%|3.4|2.4|3.4|3.3|3.8|3.0|4.5
C.I.C., (T)|me/100g|23.8|24.5|32.2|27.6|26.1|26.9|29.1
Suma bases (S)|me/100g|20.4|18.7|28.6|26.4|26.8|26.6|27.9
Sat.bases, (S/T)|%|86|76|89|96|103|99|96
