horizonte||a1|a2|ba|bt1|bt2|bc
Profundidad|cm|3|28|40|58|85|100
muestra|cm|18|34|51|73|100|121
Mat. orgánica|%|5.00|1.60|0.97|0.69|0.41|---
C orgánico|%|2.90|0.93|0.56|0.40|0.24|---
N total|%|0.235|0.079|0.091|0.071|---|---
Relación C/N|---|12|12|6|6|---|---
Arcilla < 2µ|%|34.3|39.1|40.1|47.3|53.7|37.2
Limo 2-50µ|%|58.9|54.7|56.9|49.7|41.6|55.9
Arena >50µ|%|6.8|6.2|3.0|3.0|4.7|6.9
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|37.5|40.8|37.6|32.9|23|32.9
Arena:|||||||
Muy fina 50-100µ|%|6.3|5.8|2.8|2.7|4.4|5.9
Fina 100-250µ|%|0.5|0.4|0.2|0.3|0.3|1.0
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|36.7|45.5|50.3|53.2|59.3|38.7
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|2.5|3.9|7.8|7.5|3.6
pH pasta (1:1)|---|6.6|7.0|7.0|6.9|6.9|6.9
pH agua (1:2,5)|---|7.7|7.7|7.5|7.3|7.3|7.4
pH 1N ClK (1:2,5)|---|0.0|0.0|0.0|0.0|0.0|0.0
Ca++ intercambio|me/100g|17.9|13.6|14.3|16.4|23.9|21.0
Mg++ intercambio|me/100g|3.4|3.0|2.8|4.4|4.6|5.6
Na+ intercambio|me/100g|1.6|2.1|2.0|2.2|2.6|3.1
K+ intercambio|me/100g|2.6|1.9|2.1|2.4|3.2|2.9
H+ intercambio|me/100g|6.9|3.6|3.5|4.1|4.9|4.7
(Na+/T)|%|6.2|10.9|9.5|8.9|7.6|9.6
C.I.C., (T)|me/100g|25.8|19.3|21.0|24.7|34.1|32.4
Suma bases (S)|me/100g|25.5|20.6|21.2|25.4|34.3|32.6
Sat.bases, (S/T)|%|99|107|101|103|101|101
