horizonte||a|ba|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0|17|26|49|72|101|+ 148
Mat. orgánica|%|3.08|1.91|1.15|0.72|0.32|0.17|
C orgánico|%|1.79|1.11|0.67|0.42|0.19|0.10|
N total|%|0.140|0.105|0.079|0.067|||
Relación C/N|---|12|10|9|6|||
Arcilla < 2µ|%|22.9|28.9|31.3|28.3|25.4|16.5|
Limo 2-50µ|%|62.1|58.9|60.1|59.4|64.2|61.3|
Arena >50µ|%|15.0|12.2|8.3|12.3|10.4|22.0|
TOTAL|%|100|100|100|100|100|100|
Limo 2-20µ|%|||||||
Arena:||||||||
Muy fina 50-100µ|%|14.5|11.8|8.2|11.7|9.5|20.2|
Fina 100-250µ|%|0.5|0.4|0.1|0.6|0.9|1.8|
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|
Equiv.humedad|%|27.2|29.8|32.9|31.3|27.6|24.1|
Resist.pasta|ohms|||||||
Conductividad|mmhos/cm|||||||
pH pasta (1:1)|---|5.8|5.9|6.2|6.4|6.5|6.8|
pH agua (1:2,5)|---|7.0|7.2|7.2|7.3|7.3|7.4|
pH 1N ClK (1:2,5)|---|||||||
Ca++ intercambio|me/100g|9.7|12.1|15.8|15.4|14.2|12.7|
Mg++ intercambio|me/100g|2.3|4.1|5.4|5.1|5.0|3.6|
Na+ intercambio|me/100g|0.2|0.2|0.3|0.3|0.3|0.3|
K+ intercambio|me/100g|2.4|1.9|2.5|2.3|2.3|2.4|
H+ intercambio|me/100g|7.4|6.1|5.3|5.1|4.9|3.1|
(Na+/T)|%|||||||
C.I.C., (T)|me/100g|17.5|20.9|27.5|25.2|22.9|19.6|
Suma bases (S)|me/100g|14.6|20.9|27.5|25.2|22.9|19.6|
Sat.bases, (S/T)|%|83|88|87|92|95|97|
