horizonte||a|e|bt1|bt2|bt3|bc|c
Profundidad muestra|cm|0-19|19-30|30-55|55-71|71-92|92-134|134-200
Mat. orgánica|%|1.90|1.21|1.21|0.69|0.34|0.17|0.17
C orgánico|%|1.10|0.70|0.70|0.40|0.20|0.10|0.10
N total|%|0.083|0.053|0.069|0.052|0.03|0.03|0.02
Relación C/N|---|13|13|10|8|7|4|5
Arcilla < 2µ|%|27.6|25.2|57.8|50.5|29.8|20.8|33.7
Limo 2-50µ|%|68.6|66.1|34.2|46.6|63.5|69.4|58.9
Arena >50µ|%|3.8|8.7|8.0|2.9|6.7|9.8|7.4
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|38|37.6|21.5|31.8|43.4|44.9|36.1
Arena:||||||||
Muy fina 50-100µ|%|2.0|4.5|4.1|1.6|3.9|6.3|4.8
Fina 100-250µ|%|1.5|3.3|3.2|1.1|2.4|3.0|2.3
Media 250-500µ|%|0.3|0.9|0.7|0.2|0.4|0.5|0.3
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|||||||
Equiv.humedad|%|||||||
Resist.pasta|ohms|||||||
Conductividad|mmhos/cm|||||||
pH pasta (1:1)|---|6.1|6.3|6.6|7.2|7.7|8.1|8.1
pH agua (1:2,5)|---|6.2|6.5|7.1|7.6|8.1|8.2|8.4
pH 1N ClK (1:2,5)|---|5.0|5.1|5.4|5.5|5.9|6.6|6.7
Ca++ intercambio|me/100g|7.2|7.0|20.9|20.3|16.9|17.0|17.7
Mg++ intercambio|me/100g|3.2|1.4|4.8|5.3|6.1|5.0|4.1
Na+ intercambio|me/100g|0.4|0.4|1.5|1.6|1.6|1.7|1.6
K+ intercambio|me/100g|0.9|0.7|2.4|2.5|2.6|2.6|2.5
H+ intercambio|me/100g|3.1|1.5|1.6|0.8|0.0|0.0|0.0
(Na+/T)|%|2.9|3.6|4.7|5.3|5.7|6.4|6.3
C.I.C., (T)|me/100g|13.9|11.1|32.0|30.2|28.2|26.5|25.6
Suma bases (S)|me/100g|11.7|9.5|29.6|29.7|27.2|26.3|25.9
Sat.bases, (S/T)|%|84|86|93|98|96|99|101
