horizonte||a|ba|bt1|bt2|bc|c|ck
Profundidad muestra|cm|5|18|33|58|82|155|210
Mat. orgánica|%|3.36|1.67|0.97|0.62|0.41|0.16|0.14
C orgánico|%|1.95|0.97|0.56|0.36|0.24|0.09|0.08
N total|%|0.194|0.113|0.074|0.054|0.040|---|---
Relación C/N|---|10|9|8|7|6|---|---
Arcilla < 2µ|%|22.5|27.0|29.3|28.4|21.8|14.1|9.2
Limo 2-50µ|%|65.4|60.0|56.6|58.8|62.2|65.1|73.4
Arena >50µ|%|12.1|13.0|14.1|12.8|16.0|20.8|17.4
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---|---
Arena:||||||||
Muy fina 50-100µ|%|10.9|10.9|12.3|12.1|14.6|17.3|15.7
Fina 100-250µ|%|1.2|2.1|1.8|0.7|1.4|3.5|1.7
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|4.0
Equiv.humedad|%|27.7|27.6|26.3|26.4|23.5|20.7|20.7
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.5|5.7|6.0|6.1|6.2|6.9|7.7
pH agua (1:2,5)|---|5.8|6.0|6.3|6.5|6.5|7.4|8.3
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|13.2|11.2|10.8|11.2|10.6|10.9|---
Mg++ intercambio|me/100g|2.9|3.1|4.6|5.2|4.4|4.5|---
Na+ intercambio|me/100g|0.2|0.2|0.2|0.2|0.2|0.3|0.4
K+ intercambio|me/100g|2.1|2.0|2.4|2.5|2.5|2.0|2.4
H+ intercambio|me/100g|5.9|3.4|2.9|2.9|2.0|0.9|---
(Na+/T)|%|0.9|1.0|1.0|0.9|1.0|1.6|2.2
C.I.C., (T)|me/100g|22.9|19.9|21.0|23.3|20.2|18.6|18.0
Suma bases (S)|me/100g|18.4|16.5|18.0|19.1|17.7|17.7|---
Sat.bases, (S/T)|%|80|83|86|82|88|95|---
