horizonte||e1|e2|2bt1
Profundidad muestra|cm|0 - 20|20 - 33|33 - 47
Mat. orgánica|%|2.79|1.05|-----
C orgánico|%|1.60|0.60|-----
N total|%|0.198|0.089|-----
Relación C/N|---|8|7|-----
Arcilla < 2µ|%|23.5|27.5|34.5
Limo 2-50µ|%|56.0|53.5|50.0
Arena >50µ|%|19.5|18.4|15.7
TOTAL|%|99.0|99.4|100.2
Limo 2-20µ|%|||
Arena:||||
Muy fina 50-100µ|%|||
Fina 100-250µ|%|||
Media 250-500µ|%|||
Gruesa 500-1000µ|%|||
Muy gruesa 1-2mm|%|||
Calcáreo, CaCO3|%|-----|-----|vest.
Equiv.humedad|%|-----|-----|-----
Resist.pasta|ohms|-----|-----|-----
Conductividad|mmhos/cm|-----|-----|-----
pH pasta (1:1)|---|-----|-----|-----
pH agua (1:2,5)|---|5.6|6.1|6.8
pH 1N ClK (1:2,5)|---|-----|-----|-----
Ca++ intercambio|me/100g|6.6|13.2|14.7
Mg++ intercambio|me/100g|0.8|1.0|0.9
Na+ intercambio|me/100g|0.8|1.1|1.1
K+ intercambio|me/100g|0.4|1.0|0.6
H+ intercambio|me/100g|-----|-----|-----
(Na+/T)|%|7.2|6.7|5.8
C.I.C., (T)|me/100g|11.1|16.3|19.0
Suma bases (S)|me/100g|8.6|16.3|17.3
Sat.bases, (S/T)|%|77|100|91
