horizonte||a|bt1|bt2|bc|ck
Profundidad muestra|cm|0 - 16|16 - 45|45 - 75|75 - 125|175 - 200
Mat. orgánica|%|1.90|1.21|0.52|0.34|0.17
C orgánico|%|1.10|0.70|0.30|0.20|0.10
N total|%|0.153|0.136|0.114|0.083|0.070
Relación C/N|---|7|5|3|2|1
Arcilla < 2µ|%|22.5|39.5|34.0|30.0|22.0
Limo 2-50µ|%|74.5|58.0|62.5|65.0|71.5
Arena >50µ|%|2.7|2.2|3.1|4.4|5.9
TOTAL|%|99.7|99.7|99.6|99.4|99.4
Limo 2-20µ|%|32.0|26.0|28.0|28.0|30.0
Arena:||||||
Muy fina 50-100µ|%|1.6|1.1|2.1|1.7|1.7
Fina 100-250µ|%|0.8|0.9|0.8|2.4|3.8
Media 250-500µ|%|0.3|0.2|0.2|0.3|0.4
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---
Resist.pasta|ohms|2 693|350|312|727|727
Conductividad|mmhos/cm|---|5.7|7.7|3.0|2.9
pH pasta (1:1)|---|5.1|7.4|7.6|7.6|8.0
pH agua (1:2,5)|---|5.6|7.9|8.3|8.2|8.9
pH 1N ClK (1:2,5)|---|4.6|6.4|6.9|6.4|6.7
Ca++ intercambio|me/100g|8.0|14.4|15.1|9.7|17.1
Mg++ intercambio|me/100g|2.2|2.8|2.7|5.3|2.9
Na+ intercambio|me/100g|1.5|4.2|6.2|6.0|5.8
K+ intercambio|me/100g|2.6|3.7|4.1|3.8|3.1
H+ intercambio|me/100g|---|---|---|---|---
(Na+/T)|%|9.4|16.2|23.0|25.0|19.3
C.I.C., (T)|me/100g|16.0|26.0|27.0|24.0|30.0
Suma bases (S)|me/100g|14.3|25.1|28.1|24.8|28.9
Sat.bases, (S/T)|%|89|97|104|103|96
