horizonte||a|b|bt1|bt2|bt3|bc|ck
Profundidad|cm|0|25|37|51|85|112|147
muestra|cm|25|37|51|85|112|147|240
Mat. orgánica|%|2.64|1.29|1.60|0.81|0.48|0.21|0.14
C orgánico|%|1.53|0.75|0.93|0.47|0.28|0.12|0.08
N total|%|0.153|0.096|0.093|0.073|0.06|0.04|0.04
Relación C/N|---|10|8|10|6|5|3|2
Arcilla < 2µ|%|21.5|29.0|48.5|49.0|40.5|33.0|31.5
Limo 2-50µ|%|74.5|69.5|49.0|49.0|58.0|63.5|65.5
Arena >50µ|%|3.4|1.7|1.9|2.0|1.6|3.2|3.1
TOTAL|%|99.4|100.2|99.4|100.0|100.1|99.7|100.1
Limo 2-20µ|%|32.5|29.5|18.5|19|24.5|28.5|23.5
Arena:||||||||
Muy fina 50-100µ|%|3.1|1.6|1.9|1.9|1.5|3.0|2.9
Fina 100-250µ|%|0.2|0.1|0.0|0.1|0.1|0.2|0.2
Media 250-500µ|%|0.1|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|26.8|25.2|39.0|47.3|44.1|43.3|39.6
Resist.pasta|ohms|3 676|3 628|2 292|2 148|2 148|2 578|2 624
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.5|5.8|5.7|6.1|6.1|6.2|6.4
pH agua (1:2,5)|---|6.0|6.4|6.7|7.2|7.1|7.2|7.5
pH 1N ClK (1:2,5)|---|5.2|5.3|5.1|5.3|5.4|5.4|5.6
Ca++ intercambio|me/100g|11.6|12.8|18.4|23.6|19.8|19.6|14.8
Mg++ intercambio|me/100g|2.0|2.4|2.2|4.4|4.4|2.6|6.2
Na+ intercambio|me/100g|0.9|0.9|0.8|0.8|0.9|1.0|1.0
K+ intercambio|me/100g|2.5|2.7|2.8|3.5|3.9|3.8|2.1
H+ intercambio|me/100g|---|---|---|---|---|---|---
(Na+/T)|%|4.6|4.3|3.3|2.2|2.8|3.3|3.8
C.I.C., (T)|me/100g|19.4|21.0|24.6|36.4|32.2|30.2|26.6
Suma bases (S)|me/100g|17.0|18.8|24.2|32.3|29.0|27.0|24.1
Sat.bases, (S/T)|%|88|90|98|89|90|89|91
