horizonte||a1|a_y_b|b21t|b22t|b23t|b3|c1
Profundidad|cm|0|30|46|74|102|134|163
muestra|cm|30|46|74|102|134|163|---
Mat. orgánica|%|1.78|1.14|0.72|0.52|0.43|0.21|0.21
C orgánico|%|1.03|0.66|0.42|0.30|0.25|0.12|0.12
N total|%|0.112|0.064|0.058|0.058|0.06|0.06|0.05
Relación C/N|---|9|10|7|5|4|2|2
Arcilla < 2µ|%|22.1|19.0|48.6|38.6|33.5|28.9|22.7
Limo 2-50µ|%|58.8|60.0|39.5|47.8|52.1|55.8|59.8
Arena >50µ|%|19.1|21.0|11.9|13.6|14.4|15.3|17.5
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|29.1|29.3|28.6|23.3|25.8|28.4|32.3
Arena:||||||||
Muy fina 50-100µ|%|11.6|13.1|7.3|8.5|7.0|9.3|10.3
Fina 100-250µ|%|6.8|6.9|4.1|2.5|6.6|5.4|6.6
Media 250-500µ|%|0.7|1.0|0.5|2.6|0.8|0.6|0.6
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|7 003|9 104|2 054|2 477|3 455|4 015|2 801
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.7|5.9|6.1|6.2|6.2|6.3|6.1
pH agua (1:2,5)|---|5.9|6.0|6.3|6.3|6.4|6.4|6.3
pH 1N ClK (1:2,5)|---|5.3|5.4|5.2|5.2|5.2|5.2|5.2
Ca++ intercambio|me/100g|7.4|7.0|12.5|12.3|13.2|14.5|10.2
Mg++ intercambio|me/100g|1.9|2.8|1.9|2.0|2.5|1.9|2.0
Na+ intercambio|me/100g|1.4|1.9|2.6|2.0|2.0|2.5|3.3
K+ intercambio|me/100g|1.5|1.3|1.8|1.7|1.7|1.7|1.8
H+ intercambio|me/100g|3.0|3.0|2.0|2.0|2.0|1.5|2.0
(Na+/T)|%|9.3|11.7|12.5|9.4|9.5|12.0|18.5
C.I.C., (T)|me/100g|15.1|16.2|20.8|21.3|21.0|20.8|17.8
Suma bases (S)|me/100g|12.2|13.0|18.8|18.0|19.4|20.6|17.3
Sat.bases, (S/T)|%|81|80|90|85|92|99|97
