horizonte||ap|ac|2c1|3c2|4bt
Profundidad muestra|cm|0 - 25|25 - 48|48 - 70|70 - 90|90 - 100
Mat. orgánica|%|0.93|0.78|0.34|0.10|0.10
C orgánico|%|0.54|0.45|0.20|0.06|0.06
N total|%|0.060|0.041|0.030|0.024|0.024
Relación C/N|---|9|11|7|3|3
Arcilla < 2µ|%|16.7|13.0|8.6|9.4|25.1
Limo 2-50µ|%|27.8|22.7|15.9|22.4|22.0
Arena >50µ|%|55.4|64.3|74.5|68.1|52.7
TOTAL|%|99.9|100.0|99.0|100.0|99.9
Limo 2-20µ|%|17.2|10.8|6.4|9.7|9.2
Arena:||||||
Muy fina 50-100µ|%|9.8|10.9|11.1|12.3|9.7
Fina 100-250µ|%|37.0|43.1|56.4|46.6|35.9
Media 250-500µ|%|8.5|10.1|6.9|9.2|7.2
Gruesa 500-1000µ|%|0.1|0.2|0.1|0.1|0.1
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.00|0.00|0.00|0.00|0.00
Equiv. humedad|%|-----|-----|-----|-----|-----
Resist. pasta|ohms|17 205|20 080|14 430|13 875|4 107
Conductividad|mmhos/cm|-----|-----|-----|-----|-----
pH pasta (1:1)|---|5.0|5.3|5.8|5.9|5.3
pH agua (1:2,5)|---|4.5|4.9|5.3|5.4|5.4
pH 1N ClK (1:2,5)|---|4.1|4.6|4.9|5.1|4.5
Ca++ intercambio|me/100g|2.2|2.5|1.8|1.7|6.1
Mg++ intercambio|me/100g|1.1|0.0|0.0|0.0|1.1
Na+ intercambio|me/100g|0.4|0.4|0.3|0.4|0.6
K+ intercambio|me/100g|0.2|0.1|0.1|0.1|0.3
H+ intercambio|me/100g|3.8|2.3|1.1|1.1|2.3
(Na+/T)|%|5.9|5.9|5.5|5.6|5.4
C.I.C., (T)|me/100g|6.8|6.8|5.5|7.2|11.2
Suma bases (S)|me/100g|3.9|3.0|2.2|2.2|8.1
Sat. bases, (S/T)|%|57|44|40|31|72
