horizonte||a|eb|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0|18|24|55|88|120|155|180
Mat. orgánica|%|1.81|1.12|0.76|0.19|0.21|0.07|0.05|0.02
C orgánico|%|1.05|0.65|0.44|0.11|0.12|0.04|0.03|0.01
N total|%|0.113|0.077|0.075|0.093|0.046|0.042|0.042|0.031
Relación C/N|---|9|8|6|1|3|1|1|0
Arcilla < 2µ|%|18.5|17.5|40.5|29.5|28.0|28.0|15.0|15.0
Limo 2-50µ|%|65.5|69.5|51.5|61.0|59.5|59.0|67.0|66.0
Arena >50µ|%|15.4|12.4|7.3|9.2|11.8|12.5|17.5|18.5
TOTAL|%|99.4|99.4|99.3|99.7|99.3|99.5|99.5|99.5
Limo 2-20µ|%|24.5|28|22|26|28|28|30.5|28
Arena:|||||||||
Muy fina 50-100µ|%|8.4|7.4|4.3|5.5|5.8|7.2|7.2|4.6
Fina 100-250µ|%|5.9|4.1|2.6|3.1|5.3|4.7|8.6|11.9
Media 250-500µ|%|1.1|0.9|0.4|0.6|0.7|0.6|1.7|2.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|8 522|8 909|2 169|2 092|2 479|2 634|2 130|2 324
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.5|5.6|6.4|7.1|7.5|7.5|7.5|7.7
pH agua (1:2,5)|---|5.6|5.7|6.8|7.5|7.6|7.6|8.0|8.2
pH 1N ClK (1:2,5)|---|5.3|5.3|5.5|6.3|6.3|6.2|6.4|6.6
Ca++ intercambio|me/100g|9.6|9.3|12.0|12.9|13.3|15.0|13.7|15.0
Mg++ intercambio|me/100g|2.5|3.6|3.2|3.0|3.1|2.8|2.6|2.1
Na+ intercambio|me/100g|0.2|0.5|0.4|0.4|0.4|0.3|0.3|0.4
K+ intercambio|me/100g|0.5|0.3|1.5|1.3|1.2|1.3|1.4|1.4
H+ intercambio|me/100g|2.0|2.0|1.0|0.5|---|---|---|---
(Na+/T)|%|1.4|3.5|2.2|2.2|2.0|1.5|1.6|2.2
C.I.C., (T)|me/100g|14.0|14.2|18.0|18.5|19.8|19.8|18.2|17.8
Suma bases (S)|me/100g|12.8|13.7|17.1|17.6|18.0|19.4|18.0|18.9
Sat.bases, (S/T)|%|91|96|95|95|91|98|99|106
