horizonte||ep|e|bt|bc1|bc2|c
Profundidad|cm|0|17|26|67|90|120
muestra|cm|17|26|67|90|120|---
Mat. orgánica|%|2.69|1.28|0.48|0.22|0.17|0.14
C orgánico|%|1.56|0.74|0.28|0.13|0.10|0.08
N total|%|0.106|0.065|0.035|0.039|0.03|---
Relación C/N|---|15|11|8|3|4|---
Arcilla < 2µ|%|14.0|12.0|24.5|20.0|16.3|10.8
Limo 2-50µ|%|66.3|67.5|61.3|58.9|60.6|57.3
Arena >50µ|%|18.4|19.1|14.6|21.9|24.2|31.4
TOTAL|%|98.7|98.6|100.4|100.8|101.1|99.5
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|17.4|18.2|12.8|14.2|16.0|16.0
Fina 100-250µ|%|1.0|0.9|1.0|2.4|3.2|4.9
Media 250-500µ|%|0.0|0.0|0.3|1.2|1.1|2.0
Gruesa 500-1000µ|%|0.0|0.0|0.5|3.4|3.1|6.3
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.7|0.8|2.2
Calcáreo, CaCO3|%|0.0|0.0|1.1|5.6|8.6|4.3
Equiv.humedad|%|24.0|21.2|30.7|30.2|24.8|22.6
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|2.2|2.3|---
pH pasta (1:1)|---|5.7|6.3|8.0|8.4|8.8|8.4
pH agua (1:2,5)|---|5.9|6.4|8.6|8.6|9.0|8.9
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|8.7|8.2|---|---|---|---
Mg++ intercambio|me/100g|1.9|2.2|---|---|---|---
Na+ intercambio|me/100g|0.3|1.1|6.0|5.0|10.0|7.0
K+ intercambio|me/100g|2.1|1.8|2.7|1.6|2.5|2.1
H+ intercambio|me/100g|2.5|1.2|0.0|0.0|0.0|0.0
(Na+/T)|%|1.9|7.5|20.5|17.1|42.0|29.4
C.I.C., (T)|me/100g|15.7|14.6|29.2|29.2|23.8|23.8
Suma bases (S)|me/100g|13.0|13.3|---|---|---|---
Sat.bases, (S/T)|%|83|91|---|---|---|---
