horizonte||e|bt1|bt2|bc|c
Profundidad|cm|0|20|60|85|132
muestra|cm|20|60|85|132|---
Mat. orgánica|%|2.10|0.79|0.29|0.12|0.14
C orgánico|%|1.22|0.46|0.17|0.07|0.08
N total|%|0.141|0.066|0.037|---|---
Relación C/N|---|9|7|5|---|---
Arcilla < 2µ|%|19.5|55.6|42.3|20.8|19.1
Limo 2-50µ|%|76.2|42.4|54.6|73.8|73.8
Arena >50µ|%|4.3|2.0|3.1|5.4|7.1
TOTAL|%|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---
Arena:||||||
Muy fina 50-100µ|%|3.3|1.8|2.9|4.2|5.6
Fina 100-250µ|%|1.0|0.2|0.2|1.2|1.5
Media 250-500µ|%|---|---|---|---|---
Gruesa 500-1000µ|%|---|---|---|---|---
Muy gruesa 1-2mm|%|---|---|---|---|---
Calcáreo, CaCO3|%|0.0|0.7|0.9|0.0|2.3
Equiv.humedad|%|26.0|51.1|40.1|31.7|29.6
Resist.pasta|ohms|---|---|---|---|---
Conductividad|mmhos/cm|---|8.0|10.9|9.0|6.2
pH pasta (1:1)|---|6.5|7.6|7.5|7.2|7.6
pH agua (1:2,5)|---|6.7|8.1|8.1|7.8|8.4
pH 1N ClK (1:2,5)|---|---|---|---|---|---
Ca++ intercambio|me/100g|7.8|---|---|9.2|---
Mg++ intercambio|me/100g|4.2|---|---|9.2|---
Na+ intercambio|me/100g|1.6|7.8|6.1|4.6|3.7
K+ intercambio|me/100g|1.6|4.2|4.2|3.0|2.9
H+ intercambio|me/100g|---|---|---|---|---
(Na+/T)|%|9.1|20.9|18.7|17.4|14.9
C.I.C., (T)|me/100g|17.5|37.4|32.7|26.4|24.9
Suma bases (S)|me/100g|15.2|---|---|26.0|---
Sat.bases, (S/T)|%|87|---|---|98|---
