horizonte||a|b|bt1|bt2|bt3|bc|c
Profundidad muestra|cm|0|30|42|75|96|117|146
Mat. orgánica|%|2.12|1.29|0.84|0.66|0.33|0.14|---
C orgánico|%|1.23|0.75|0.49|0.38|0.19|0.08|---
N total|%|0.112|0.077|0.066|0.053|0.04|0.03|0.023
Relación C/N|---|11|10|7|7|5|3|---
Arcilla < 2µ|%|27.1|34.2|54.5|42.4|37.6|27.3|21.0
Limo 2-50µ|%|66.1|59.2|41.6|53.4|56.6|65.1|69.2
Arena >50µ|%|6.8|6.6|3.4|4.2|5.8|7.6|9.8
TOTAL|%|100.0|100.0|99.5|100.0|100.0|100.0|100.0
Limo 2-20µ|%|31.6|30.1|20.5|28.6|31.4|33.1|36.5
Arena:||||||||
Muy fina 50-100µ|%|4.9|4.9|2.3|3.2|4.6|6.0|5.1
Fina 100-250µ|%|1.6|1.5|0.9|0.9|1.0|1.5|4.6
Media 250-500µ|%|0.3|0.2|0.2|0.1|0.2|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|5 232|3 456|1 579|1 727|1 974|2 220|2 517
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.3|6.5|6.5|7.1|7.2|7.3|7.4
pH agua (1:2,5)|---|6.4|6.7|6.8|7.3|7.5|7.5|7.5
pH 1N ClK (1:2,5)|---|5.2|5.3|5.5|5.5|5.5|5.5|5.5
Ca++ intercambio|me/100g|10.7|11.9|20.7|17.7|15.4|14.5|14
Mg++ intercambio|me/100g|0.4|0.6|1.5|2.3|3.1|1.7|1.6
Na+ intercambio|me/100g|0.3|0.3|0.5|0.5|0.4|0.4|0.4
K+ intercambio|me/100g|1.0|1.0|1.5|1.5|1.4|1.4|1.4
H+ intercambio|me/100g|2.2|1.1|1.1|1.1|1.1|1.1|1.1
(Na+/T)|%|2.1|1.9|1.9|2.0|1.9|2.1|2.1
C.I.C., (T)|me/100g|14.4|15.5|26.5|24.5|21.4|19.4|19.4
Suma bases (S)|me/100g|12.4|13.8|24.2|22.0|20.3|18.0|17.4
Sat.bases, (S/T)|%|86|89|91|90|95|93|90
