horizonte||a|e|bt1|bt2|bt3|bc|c|ck
Mat. orgánica|%|2.14|1.76|0.81|0.38|0.14|0.09|0.07|0.10
C orgánico|%|1.24|1.02|0.47|0.22|0.08|0.05|0.04|0.06
N total|%|0.147|0.084|0.075|0.048|0.030|0.020|0.020|0.020
Relación C/N|---|8|12|6|5|3|3|2|3
Arcilla < 2µ|%|23.5|22.5|49.5|40.5|30.5|27.5|25.0|20.5
Limo 2-50µ|%|71.5|73.5|48.0|58.0|65.5|67.5|71.5|76.5
Arena >50µ|%|4.4|4.3|2.3|1.7|3.7|4.5|3.5|3.2
TOTAL|%|99.4|100.3|99.8|100.2|99.7|99.5|100.0|100.2
Limo 2-20µ|%|27|28|21|39.5|28.5|32|33.5|43
Arena:|||||||||
Muy fina 50-100µ|%|3.5|3.7|2.1|1.5|2.9|3.7|2.0|2.0
Fina 100-250µ|%|0.7|0.5|0.2|0.2|0.7|0.7|1.4|1.1
Media 250-500µ|%|0.2|0.1|0.0|0.0|0.1|0.1|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.9
Equiv.humedad|%|34.5|33.6|57.1|51.6|36.6|35.7|34.8|33.0
Resist.pasta|ohms|5 128|3 712|728|896|1 368|1 368|1 196|1 112
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.9|6.5|7.5|7.7|7.7|7.6|7.5|8.0
pH agua (1:2,5)|---|6.1|7.0|7.9|8.4|8.7|8.5|8.5|9.0
pH 1N ClK (1:2,5)|---|5.1|5.5|6.4|6.5|6.5|6.4|6.4|7.0
Ca++ intercambio|me/100g|8.8|7.6|18.0|17.2|15.0|13.8|11.6|10.6
Mg++ intercambio|me/100g|2.6|1.4|4.9|6.6|2.0|3.0|4.5|1.7
Na+ intercambio|me/100g|1.5|1.2|1.2|1.2|2.3|1.2|1.3|1.5
K+ intercambio|me/100g|1.3|0.7|0.7|0.8|1.7|1.3|0.9|0.9
H+ intercambio|me/100g|3.2|---|---|---|---|---|---|---
(Na+/T)|%|8.9|8.8|4.3|4.4|10.0|5.7|6.2|8.3
C.I.C., (T)|me/100g|16.9|13.6|28.0|27.2|22.9|21.0|21.0|18.0
Suma bases (S)|me/100g|14.2|10.9|24.8|25.8|21.0|19.3|18.3|14.7
Sat.bases, (S/T)|%|84|80|89|95|92|92|87|82
