horizonte||a|b|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0|21|34|56|79|103|134|180
Mat. orgánica|%|2.00|1.28|1.19|0.64|0.31|0.31|0.22|0.16
C orgánico|%|1.16|0.74|0.69|0.37|0.18|0.18|0.13|0.09
N total|%|0.124|0.093|0.102|0.081|0.036|0.019|0.016|0.013
Relación C/N|---|9|8|7|5|5|9|8|7
Arcilla < 2µ|%|25.0|32.0|45.0|41.0|30.0|27.0|25.5|22.5
Limo 2-50µ|%|72.5|66.0|53.0|57.0|67.5|70.0|72.0|72.5
Arena >50µ|%|1.9|1.6|1.2|1.7|1.9|3.0|2.7|4.6
TOTAL|%|99.4|99.6|99.2|99.7|99.4|100.0|100.2|99.6
Limo 2-20µ|%|30|26|23|23|29.5|30|31|31.5
Arena:|||||||||
Muy fina 50-100µ|%|1.3|1.1|1.0|1.4|1.7|2.4|2.1|3.3
Fina 100-250µ|%|0.4|0.4|0.1|0.2|0.2|0.4|0.5|1.1
Media 250-500µ|%|0.2|0.1|0.1|0.1|0.0|0.2|0.1|0.2
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.8
Equiv.humedad|%|34.7|32.6|46.1|46.0|41.3|40.0|38.2|36.4
Resist.pasta|ohms|5 940|3 268|2 589|2 625|2 589|2 589|2 589|2 164
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.0|5.8|6.1|6.3|6.3|6.4|6.5|7.8
pH agua (1:2,5)|---|6.5|6.5|6.6|7.0|7.4|6.9|7.0|8.5
pH 1N ClK (1:2,5)|---|5.3|5.2|5.2|5.5|5.4|5.3|5.4|7.2
Ca++ intercambio|me/100g|9.0|10.4|20.6|21.6|18.0|15.0|17.0|15.0
Mg++ intercambio|me/100g|3.7|3.5|3.7|3.7|3.0|3.8|1.9|3.5
Na+ intercambio|me/100g|1.5|1.3|1.3|1.3|1.3|1.5|1.6|2.0
K+ intercambio|me/100g|1.8|1.5|1.3|1.0|0.7|0.8|0.9|1.7
H+ intercambio|me/100g|2.7|3.2|2.9|0.0|0.0|2.8|0.9|1.7
(Na+/T)|%|7.8|6.7|4.3|4.4|5.0|6.3|6.8|8.0
C.I.C., (T)|me/100g|19.3|19.3|30.0|29.8|25.9|24.0|23.5|25.0
Suma bases (S)|me/100g|16.0|16.7|26.9|27.6|23.0|21.1|21.4|22.2
Sat.bases, (S/T)|%|83|87|90|93|89|88|91|89
