horizonte||a1|ab|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0-25|25-37|37-71|71-100|100-122|122-144|+ 144
Mat. orgánica|%|2.2|1.4|0.6|0.3|0.1|0.1|0.1
C orgánico|%|1.25|0.81|0.37|0.18|0.07|0.04|0.04
N total|%|0.108|0.070|0.032|0.016|0.006|0.003|0.003
Relación C/N||12|12|12|11|12|13|13
Arcilla < 2µ|%|35.3|38.9|42.5|43.5|31.87|22.04|15.6
Limo 2-50µ|%|62.1|60.0|55.4|54.4|62.76|72.53|75.37
Arena >50µ|%|2.5|1.1|2.1|2.2|5.37|5.43|9.03
TOTAL|%|100.0|100.0|100.0|100.0|100|100|100
Limo 2-20µ|%|---|---|---|---|---|---|---
Arena:||||||||
Muy fina 50-100µ|%|---|---|---|---|---|---|---
Fina 100-250µ|%|---|---|---|---|---|---|---
Media 250-500µ|%|---|---|---|---|---|---|---
Gruesa 500-1000µ|%|---|---|---|---|---|---|---
Muy gruesa 1-2mm|%|---|---|---|---|---|---|---
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|4.7
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|dS m -1|0.09|0.08|0.09|0.09|0.10|0.26|0.35
pH pasta (1:1)||---|---|---|---|---|---|---
pH agua (1:2,5)||6.7|6.9|7.2|7.5|7.6|8.4|8.8
pH 1N ClK (1:2,5)||---|---|---|---|---|---|---
Ca++ intercambio|me/100g|10.80|13.04|16.08|16.48|15.60|23.68|56.00
Mg++ intercambio|me/100g|6.08|4.08|5.36|4.88|5.20|6.40|4.80
Na+ intercambio|me/100g|0.1|0.2|0.3|0.5|0.6|0.9|1.7
K+ intercambio|me/100g|2.1|2.0|2.0|2.2|2.5|2.6|3.0
H+ intercambio|me/100g|---|---|---|---|---|---|---
(Na+/T)|%|0.6|1.1|1.1|2.1|2.1|3.5|4.9
C.I.C., (T)|me/100g|17.70|18.10|27.65|24.35|28.0|25.4|35.0
Suma bases (S)|me/100g|19.1|19.3|23.7|24.1|23.9|33.6|65.5
Sat.bases, (S/T)|%|108|107|86|99|85.4|132.3|187.4
