horizonte||a|ab|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0-23|23-33|33-65|65-91|91-127|127-146|146-180
Mat. orgánica|%|2.86|1.57|0.72|0.53|0.29|0.28|0.22
C orgánico|%|1.66|0.91|0.42|0.31|0.17|0.16|0.13
N total|%|0.138|0.084|0.066|0.050|0.04|0.04|0.02
Relación C/N|---|12|11|6|6|4|5|5
Arcilla < 2µ|%|31.0|39.5|40.6|34.5|29.5|29.9|19.5
Limo 2-50µ|%|66.0|58.3|56.8|62.7|66.5|64.1|67.4
Arena >50µ|%|3.0|2.2|2.6|2.8|4.0|6.0|13.1
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|41|36.3|36.1|40.9|42.4|40.3|42.4
Arena:||||||||
Muy fina 50-100µ|%|2.6|1.9|1.9|2.5|3.1|3.7|8.0
Fina 100-250µ|%|0.4|0.3|0.7|0.3|0.9|2.3|5.1
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.6|3.6
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|1 200|1 500|1 650|1 550|1 382|887|712
Conductividad|mmhos/cm|---|---|---|---|---|1.6|2.2
pH pasta (1:1)|---|6.5|6.6|7.4|7.8|8.0|8.9|9.1
pH agua (1:2,5)|---|6.6|6.9|7.6|8.0|8.3|9.0|9.2
pH 1N ClK (1:2,5)|---|5.5|5.2|5.5|5.7|5.9|7.4|7.7
Ca++ intercambio|me/100g|13.0|14.1|18.0|17.5|15.4|13.3|7.6
Mg++ intercambio|me/100g|3.2|3.4|2.8|2.3|5.1|4.5|5.1
Na+ intercambio|me/100g|0.5|1.1|1.3|2.0|2.7|4.8|5.9
K+ intercambio|me/100g|2.3|1.9|2.4|2.4|2.5|2.5|2.5
H+ intercambio|me/100g|2.6|2.6|1.8|1.7|1.8|0.0|0.0
(Na+/T)|%|2.3|4.8|4.7|7.9|10.8|19.8|26.0
C.I.C., (T)|me/100g|22.1|22.8|27.6|25.2|25.1|24.2|22.7
Suma bases (S)|me/100g|19.0|20.5|24.5|24.2|25.7|25.1|21.1
Sat.bases, (S/T)|%|86|90|89|96|102|104|93
