horizonte||ap|2bt1
Profundidad muestra|cm|0 - 24|24 - 46
Mat. orgánica|%||
C orgánico|%||
N total|%||
Relación C/N|---||
Arcilla < 2µ|%|22.1|41.8
Limo 2-50µ|%|56.6|42.8
Arena >50µ|%|21.3|15.4
TOTAL|%|100|100
Limo 2-20µ|%||
Arena:|||
Muy fina 50-100µ|%||
Fina 100-250µ|%||
Media 250-500µ|%||
Gruesa 500-1000µ|%||
Muy gruesa 1-2mm|%||
Calcáreo, CaCO3|%||
Equiv.humedad|%||
Resist.pasta|ohms||
Conductividad|mmhos/cm||
pH pasta (1:1)|---||
pH agua (1:2,5)|---|5.7|7.6
pH 1N ClK (1:2,5)|---||
Ca++ intercambio|me/100g|8.1|21.3
Mg++ intercambio|me/100g|1.9|2.9
Na+ intercambio|me/100g|0.7|1.0
K+ intercambio|me/100g|0.3|1.7
H+ intercambio|me/100g|1.7|6.9
(Na+/T)|%||
C.I.C., (T)|me/100g|14.9|25.2
Suma bases (S)|me/100g||
Sat.bases, (S/T)|%||
