horizonte||ap|ba|bt1|bt2|bc|c|ck
Profundidad muestra|cm|5|21|35|53|85|145|220
Mat. orgánica|%|3.47|1.50|0.86|0.86|0.53|0.17|---
C orgánico|%|2.01|0.87|0.50|0.50|0.31|0.10|---
N total|%|0.174|0.090|0.072|0.069|0.02|---|---
Relación C/N|---|12|10|7|7|18|---|---
Arcilla < 2µ|%|24.2|29.0|34.9|31.7|26.8|18.4|16.2
Limo 2-50µ|%|63.4|56.8|52.3|52.8|55.6|62.2|51.5
Arena >50µ|%|12.4|14.6|12.8|15.5|17.6|19.4|28.1
TOTAL|%|100.0|100.4|100.0|100.0|100.0|100.0|95.8
Limo 2-20µ|%|---|---|---|---|---|---|---
Arena:||||||||
Muy fina 50-100µ|%|11.6|13.2|12.4|14.9|16.3|17.7|25.7
Fina 100-250µ|%|0.8|1.4|0.4|0.6|1.3|1.7|2.4
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|4.2
Equiv.humedad|%|29.3|28.9|30.8|32.4|29.2|22.1|21.8
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.2|6.1|6.4|6.2|6.3|6.6|8.0
pH agua (1:2,5)|---|7.5|7.5|7.3|7.6|7.6|7.7|8.5
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|11.6|10.6|12.6|14.6|13.6|9.8|---
Mg++ intercambio|me/100g|3.2|4.1|5.0|5.7|5.1|5.4|---
Na+ intercambio|me/100g|0.3|0.3|0.3|0.3|0.2|0.4|0.3
K+ intercambio|me/100g|2.0|1.8|2.0|2.0|2.3|2.4|2.3
H+ intercambio|me/100g|6.7|5.3|5.0|5.5|4.7|3.0|---
(Na+/T)|%|1.5|1.4|1.3|1.1|0.8|2.1|1.8
C.I.C., (T)|me/100g|20.3|21.0|23.7|26.3|24.0|19.3|16.6
Suma bases (S)|me/100g|17.1|16.8|19.9|22.6|21.2|18.0|---
Sat.bases, (S/T)|%|84|80|84|86|88|93|---
