horizonte||e|2bt1|2bt2
Profundidad muestra|cm|0 - 20|30 - 46|46 - 64
Mat. orgánica|%|||
C orgánico|%|||
N total|%|||
Relación C/N|---|||
Arcilla < 2µ|%|22.2|21.8|28.3
Limo 2-50µ|%|39.0|27.4|27.7
Arena >50µ|%|38.8|50.8|44
TOTAL|%|100|100|100
Limo 2-20µ|%|||
Arena:||||
Muy fina 50-100µ|%|||
Fina 100-250µ|%|||
Media 250-500µ|%|||
Gruesa 500-1000µ|%|||
Muy gruesa 1-2mm|%|||
Calcáreo, CaCO3|%|||
Equiv.humedad|%|||
Resist.pasta|ohms|3060|1254|564
Conductividad|mmhos/cm|||
pH pasta (1:1)|---|||
pH agua (1:2,5)|---|5.7|7|7.9
pH 1N ClK (1:2,5)|---|||
Ca++ intercambio|me/100g|8.9|6.4|9.8
Mg++ intercambio|me/100g|1.1|1.5|1.3
Na+ intercambio|me/100g|0.4|1.2|1.9
K+ intercambio|me/100g|0.5|0.4|0.8
H+ intercambio|me/100g|||
(Na+/T)|%|2.2|7.5|10.7
C.I.C., (T)|me/100g|16.6|15.3|17.2
Suma bases (S)|me/100g|10.9|9.5|13.8
Sat.bases, (S/T)|%|66|62|80
