horizonte||ap|ac|c1|2c2|2c3|3c4
Profundidad muestra|cm|0 - 25|25 - 55|55 - 105|105 - 150|150 - 170|170 - +
Mat. orgánica|%|0.72|0.43|0.28|0.21|0.28|0.03
C orgánico|%|0.42|0.25|0.16|0.12|0.16|0.02
N total|%|0.047|0.045|0.042|0.043|0.05|0.03
Relación C/N|---|9|6|4|3|3|1
Arcilla < 2µ|%|9.8|10.7|13.1|20.6|21.8|15.4
Limo 2-50µ|%|14.0|15.1|14.2|14.6|15.2|12.8
Arena >50µ|%|76.4|74.2|72.7|64.9|63.1|71.8
TOTAL|%|100.2|99.9|100.0|100.1|100.0|100.0
Limo 2-20µ|%|7.13|6.38|6.375|5.845|6.175|4.94
Arena:|||||||
Muy fina 50-100µ|%|9.1|10.9|9.6|9.1|9.2|9.4
Fina 100-250µ|%|57.6|55.2|54.7|47.5|46.3|53.9
Media 250-500µ|%|9.5|8.0|8.3|8.1|7.5|8.4
Gruesa 500-1000µ|%|0.1|0.1|0.1|0.1|0.0|0.1
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|-----|-----|-----|-----|-----|-----
Resist.pasta|ohms|19 627|16 528|10 330|2 221|4 442|5 580
Conductividad|mmhos/cm|-----|-----|-----|-----|-----|-----
pH pasta (1:1)|---|5.6|5.4|5.4|5.6|5.5|5.9
pH agua (1:2,5)|---|5.2|5.2|5.3|5.7|5.6|5.7
pH 1N ClK (1:2,5)|---|4.7|4.7|4.7|4.8|4.6|5.0
Ca++ intercambio|me/100g|2.1|2.1|2.5|4.7|5.1|4.2
Mg++ intercambio|me/100g|0.7|0.0|0.0|1.1|1.4|0.7
Na+ intercambio|me/100g|0.2|0.2|0.2|0.7|0.2|0.9
K+ intercambio|me/100g|0.2|0.1|0.1|0.2|0.2|0.2
H+ intercambio|me/100g|2.0|1.7|1.3|2.0|2.3|1.3
(Na+/T)|%|2.4|2.6|2.3|8.2|2.6|8.8
C.I.C., (T)|me/100g|7.6|9.1|10.6|8.7|9.3|10.2
Suma bases (S)|me/100g|3.2|2.5|2.9|6.6|7.0|6.0
Sat.bases, (S/T)|%|42|27|27|76|74|59
