horizonte||ap|b1|b21t|b22t|b3|c
Profundidad muestra|cm|0|22|32|60|88|128
Mat. orgánica|%|2.97|2.47|1.28|0.67|0.33|0.21
C orgánico|%|1.72|1.43|0.74|0.39|0.19|0.12
N total|%|0.154|0.139|0.092|0.057|0.05|---
Relación C/N|---|11|10|8|7|4|---
Arcilla < 2µ|%|24.9|27.7|40.7|34.3|22.9|13.3
Limo 2-50µ|%|69.0|66.7|54.7|61.2|71.4|79.3
Arena >50µ|%|6.1|5.6|4.6|4.6|5.7|7.4
TOTAL|%|100.0|100.0|100.0|100.1|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|5.6|5.2|4.5|4.4|5.2|6.5
Fina 100-250µ|%|0.5|0.4|0.1|0.2|0.5|0.9
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.1
Equiv.humedad|%|29.6|31.0|36.9|36.9|32.1|29.0
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|5.4|5.3|6.0|6.0|6.2|6.5
pH agua (1:2,5)|---|5.6|5.6|6.3|6.7|6.8|6.7
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|11.8|12.1|16.3|17.5|15.6|15.0
Mg++ intercambio|me/100g|2.0|1.9|4.6|5.8|5.7|4.7
Na+ intercambio|me/100g|0.1|0.1|0.1|0.2|0.1|0.1
K+ intercambio|me/100g|1.4|1.1|1.4|1.7|1.7|1.7
H+ intercambio|me/100g|7.7|7.4|6.8|5.9|4.7|3.2
(Na+/T)|%|0.5|0.5|0.4|0.7|0.4|0.4
C.I.C., (T)|me/100g|20.4|20.5|27.2|28.6|25.7|22.8
Suma bases (S)|me/100g|15.3|15.2|22.4|25.2|23.1|21.5
Sat.bases, (S/T)|%|75|74|82|88|90|94
