horizonte||a1|a2|b21t|b22t|b23t|b31|b32|c1
Profundidad|cm|0|16|24|51|80|115|152|187
muestra|cm|16|24|51|80|115|152|187|210
Mat. orgánica|%|2.59|2.07|1.55|0.69|0.17|0.17|0.17|0.17
C orgánico|%|1.50|1.20|0.90|0.40|0.10|0.10|0.10|0.10
N total|%|0.156|0.134|0.099|0.085|0.040|0.056|0.071|0.042
Relación C/N|---|10|9|9|5|3|2|1|2
Arcilla < 2µ|%|21.5|24.0|50.5|35.0|24.0|14.5|17.0|17.5
Limo 2-50µ|%|71.5|71.5|46.5|62.0|70.0|79.0|76.5|76.0
Arena >50µ|%|3.8|2.0|0.9|1.5|3.9|5.3|5.2|5.2
TOTAL|%|96.8|97.5|97.9|98.5|97.9|98.8|98.7|98.7
Limo 2-20µ|%|38.5|37.5|23|35.5|47|39|40|39.5
Arena:|||||||||
Muy fina 50-100µ|%|3.5|1.6|0.8|1.3|2.8|3.8|3.5|3.6
Fina 100-250µ|%|0.3|0.3|0.1|0.2|1.0|1.4|1.6|1.5
Media 250-500µ|%|0.0|0.1|0.0|0.0|0.1|0.1|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|4 447|4 862|1 469|1 722|1 469|2 026|2 431|2 178
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.8|6.0|6.8|7.3|7.8|7.6|7.3|7.3
pH agua (1:2,5)|---|6.1|6.1|7.2|7.6|8.1|7.9|7.6|7.4
pH 1N ClK (1:2,5)|---|5.0|5.1|5.4|5.6|6.6|6.0|5.5|5.2
Ca++ intercambio|me/100g|9.5|9.7|20.7|19.1|19.7|12.9|13.3|14.8
Mg++ intercambio|me/100g|2.3|2.1|6.5|5.6|6.0|7.9|6.4|3.6
Na+ intercambio|me/100g|0.2|0.2|0.6|0.7|0.8|0.7|0.6|0.4
K+ intercambio|me/100g|1.0|1.0|2.9|2.6|3.3|3.0|2.8|2.6
H+ intercambio|me/100g|3.0|3.0|2.4|2.4|0.0|1.6|1.5|2.3
(Na+/T)|%|1.2|1.3|1.8|2.4|2.8|2.7|2.6|1.7
C.I.C., (T)|me/100g|16.1|15.2|33.6|29.2|28.6|26.3|23.3|23.1
Suma bases (S)|me/100g|13.0|13.0|30.7|28.0|29.8|24.5|23.1|21.4
Sat.bases, (S/T)|%|81|86|91|96|104|93|99|93
