horizonte||a|e|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0|24|34|68|100|130|158|196
Mat. orgánica|%|1.55|0.33|0.38|0.09|0.02|0.02|0.03|0.02
C orgánico|%|0.90|0.19|0.22|0.05|0.01|0.01|0.02|0.01
N total|%|0.120|0.075|0.069|0.051|0.043|0.043|0.036|0.024
Relación C/N|---|8|3|3|1|0|0|1|0
Arcilla < 2µ|%|14.0|11.5|32.5|32.5|20.5|19.0|12.0|12.0
Limo 2-50µ|%|67.5|72.0|59.0|57.0|66.0|59.0|72.0|72.0
Arena >50µ|%|18.4|16.0|7.5|10.7|12.9|12.7|13.8|15.1
TOTAL|%|99.9|99.5|99.0|100.2|99.4|90.7|97.8|99.1
Limo 2-20µ|%|30.5|25.5|22.5|26|28|28|34|30
Arena:|||||||||
Muy fina 50-100µ|%|5.3|7.0|3.8|4.0|5.7|6.0|6.0|3.5
Fina 100-250µ|%|12.6|8.5|3.3|6.4|6.8|6.4|7.5|11.1
Media 250-500µ|%|0.5|0.5|0.4|0.3|0.4|0.3|0.4|0.6
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|7 481|7 695|2 095|2 095|2 309|2 095|2 138|2 009
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.2|5.4|5.8|6.0|6.8|6.9|6.9|7.1
pH agua (1:2,5)|---|5.3|5.9|6.2|6.3|7.1|7.6|7.8|7.8
pH 1N ClK (1:2,5)|---|4.9|4.8|4.9|4.9|5.3|6.3|6.2|6.5
Ca++ intercambio|me/100g|5.7|4.2|13.7|11.7|12.6|18.9|18.5|18.9
Mg++ intercambio|me/100g|1.3|1.7|3.1|1.3|1.3|1.6|2.0|1.1
Na+ intercambio|me/100g|0.3|0.8|0.5|0.6|1.9|0.9|2.0|1.1
K+ intercambio|me/100g|0.5|0.5|1.1|1.3|1.2|1.1|1.1|1.1
H+ intercambio|me/100g|2.0|2.0|1.0|1.0|---|---|---|---
(Na+/T)|%|3.2|8.8|2.5|3.7|11.1|4.0|9.3|5.0
C.I.C., (T)|me/100g|9.4|9.1|19.9|16.2|17.1|22.5|21.6|21.8
Suma bases (S)|me/100g|7.8|7.2|18.4|14.9|17.0|22.5|23.6|22.2
Sat.bases, (S/T)|%|83|79|92|92|99|100|109|102
