horizonte||ap|b|bc|c
Profundidad|cm|5|25|60|80
muestra|cm|15|30|70|90
Mat. orgánica|%|2.22|1.33|0.67|---
C orgánico|%|1.29|0.77|0.39|---
N total|%|0.130|0.084|0.061|---
Relación C/N|---|10|9|6|---
Arcilla < 2µ|%|17.8|24.4|18.6|12.9
Limo 2-50µ|%|35.9|29.6|31.3|31.8
Arena >50µ|%|46.3|46.0|50.1|55.3
TOTAL|%|100.0|100.0|100.0|100.0
Limo 2-20µ|%|16.3|11.3|13.4|13.1
Arena:|||||
Muy fina 50-100µ|%|44.6|44.8|48.0|52.7
Fina 100-250µ|%|1.7|1.2|2.1|2.6
Media 250-500µ|%|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0
Equiv.humedad|%|17.6|18.9|15.6|11.7
Resist.pasta|ohms|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---
pH pasta (1:1)|---|5.9|6.1|6.6|7.0
pH agua (1:2,5)|---|6.7|7.0|7.3|7.5
pH 1N ClK (1:2,5)|---|---|---|---|---
Ca++ intercambio|me/100g|9.5|10.2|10.0|8.2
Mg++ intercambio|me/100g|2.1|1.2|1.1|2.9
Na+ intercambio|me/100g|0.3|0.3|0.4|0.4
K+ intercambio|me/100g|2.2|2.0|1.1|1.5
H+ intercambio|me/100g|4.0|2.3|2.5|1.4
(Na+/T)|%|2.1|2.0|3.1|3.5
C.I.C., (T)|me/100g|14.1|15.2|13.0|11.4
Suma bases (S)|me/100g|14.1|13.7|12.6|13.0
Sat.bases, (S/T)|%|100|90|97|114
