horizonte||a|e|bt1|bt2|bt3|bc|c
Profundidad|cm|0|19|26|51|67|92|125
muestra|cm|19|26|51|67|92|125|235
Mat. orgánica|%|1.95|0.91|0.60|0.43|0.22|0.09|0.07
C orgánico|%|1.13|0.53|0.35|0.25|0.13|0.05|0.04
N total|%|0.125|0.079|0.075|0.057|0.02|0.01|0.01
Relación C/N|---|9|7|5|4|8|4|7
Arcilla < 2µ|%|21.5|21.0|49.5|45.0|30.0|22.5|18.0
Limo 2-50µ|%|73.5|75.0|48.5|51.0|65.5|72.5|71.5
Arena >50µ|%|4.6|4.1|2.0|4.0|3.8|4.9|9.8
TOTAL|%|99.6|100.1|100.0|100.0|99.3|99.9|99.3
Limo 2-20µ|%|29.5|32.5|19.5|20.5|28|33.5|30.5
Arena:||||||||
Muy fina 50-100µ|%|3.5|3.3|1.5|2.5|3.2|3.8|5.9
Fina 100-250µ|%|0.9|0.7|0.3|1.1|0.4|1.0|3.8
Media 250-500µ|%|0.2|0.1|0.2|0.4|0.2|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|31.6|29.7|45.6|43.8|40.9|32.4|32.4
Resist.pasta|ohms|4 965|8 125|2 121|1 941|2 257|2 719|2 184
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.8|6.0|6.6|6.3|7.4|7.5|7.2
pH agua (1:2,5)|---|6.1|6.2|7.5|7.0|7.8|7.9|7.8
pH 1N ClK (1:2,5)|---|5.1|4.6|4.9|4.7|5.0|5.0|5.1
Ca++ intercambio|me/100g|8.6|5.8|18.8|18.2|15.8|12.4|12.0
Mg++ intercambio|me/100g|1.6|1.8|2.2|2.0|2.2|2.2|2.0
Na+ intercambio|me/100g|1.6|1.8|2.4|2.4|2.4|2.4|3.8
K+ intercambio|me/100g|1.5|1.0|2.7|2.5|2.7|2.5|2.7
H+ intercambio|me/100g|2.1|2.0|---|---|---|---|---
(Na+/T)|%|10.0|12.2|9.2|9.2|9.9|12.0|18.4
C.I.C., (T)|me/100g|16.0|14.7|26.2|26.0|24.2|20.0|20.6
Suma bases (S)|me/100g|13.3|10.4|26.1|25.1|23.1|19.5|20.5
Sat.bases, (S/T)|%|83|71|100|97|95|98|100
