horizonte||a|be|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0-20|20-32|32-72|72-94|94-122|122-155|155-183|+ 183
Mat. orgánica|%|2.72|1.84|0.38|0.26|0.12|0.12|---|0.07
C orgánico|%|1.58|1.07|0.22|0.15|0.07|0.07|No Detecta|0.04
N total|%|0.136|0.092|0.019|0.013|0.006|0.006|No Detecta|0.003
Relación C/N|---|12|12|12|11|12|12||13
Arcilla < 2µ|%|29.81|33.75|44.37|28.90|30.77|25.32|17.84|13.40
Limo 2-50µ|%|67.87|63.67|54.05|68.00|66.26|70.74|68.13|66.43
Arena >50µ|%|2.32|2.58|1.58|3.10|2.97|3.94|14.03|20.17
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---|---|---
Arena:|||||||||
Muy fina 50-100µ|%|---|---|---|---|---|---|---|---
Fina 100-250µ|%|---|---|---|---|---|---|---|---
Media 250-500µ|%|---|---|---|---|---|---|---|---
Gruesa 500-1000µ|%|---|---|---|---|---|---|---|---
Muy gruesa 1-2mm|%|---|---|---|---|---|---|---|---
Calcáreo, CaCO3|%|---|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---|---
Conductividad|dS m -1|0.08|0.07|0.07|0.08|0.09|0.08|0.27|0.22
pH pasta (1:1)|---|---|---|---|---|---|---|---|---
pH agua (1:2,5)|---|6.4|6.3|6.8|6.9|7.1|7.1|7.5|8.3
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|12.2|11.0|16.2|15.3|14.8|13.0|15.4|28.2
Mg++ intercambio|me/100g|5.0|4.2|6.1|5.2|6.1|6.1|3.8|3.4
Na+ intercambio|me/100g|0.1|0.1|0.1|0.1|0.2|0.2|0.2|0.2
K+ intercambio|me/100g|1.7|1.3|1.9|1.9|1.9|1.9|1.8|1.8
H+ intercambio|me/100g|---|---|---|---|---|---|---|---
(Na+/T)|%|0.6|0.5|0.4|0.5|0.8|1.3|0.9|0.9
C.I.C., (T)|me/100g|18.0|18.2|23.8|22.0|23.8|15.3|23.1|22.3
Suma bases (S)|me/100g|19.0|16.5|24.2|22.5|23.0|21.2|21.3|33.7
Sat.bases, (S/T)|%|105.6|90.8|101.8|102.2|96.4|138.7|92.0|151.3
