horizonte||a1|a2|ac|2b|bc|2c
Profundidad muestra|cm|5|25|35|50|90|110
Mat. orgánica|%|2.12|1.05|0.52|0.10|---|---
C orgánico|%|1.23|0.61|0.30|0.06|---|---
N total|%|0.118|0.076|0.053|---|---|---
Relación C/N|---|10|8|6|---|---|---
Arcilla < 2µ|%|17.8|14.6|11.5|22.9|18.4|16.8
Limo 2-50µ|%|35.9|34.9|38.5|33.5|33.8|31.9
Arena >50µ|%|46.3|50.5|50.0|43.6|47.8|51.3
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|45.2|48.9|47.2|42.0|46.3|49.0
Fina 100-250µ|%|1.1|1.6|2.8|1.6|1.5|2.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|vest.|vest.|vest.
Equiv.humedad|%|18.1|15.3|12.3|25.4|18.9|16.3
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.5|6.9|7.6|8.1|8.5|9.0
pH agua (1:2,5)|---|7.4|7.3|8.4|9.1|9.5|9.8
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|5.2|5.9|5.2|---|---|---
Mg++ intercambio|me/100g|3.3|1.6|3.8|---|---|---
Na+ intercambio|me/100g|0.4|0.6|1.7|5.4|3.3|8.6
K+ intercambio|me/100g|3.1|2.8|2.5|5.8|4.5|3.2
H+ intercambio|me/100g|4.9|3.5|---|---|---|---
(Na+/T)|%|3.3|5.3|23.3|27.0|28.9|87.8
C.I.C., (T)|me/100g|12.2|11.3|7.3|20.0|11.4|9.8
Suma bases (S)|me/100g|12.0|10.9|13.2|---|---|---
Sat.bases, (S/T)|%|98|96|181|---|---|---
