horizonte||e|bt|2bck|2bck|3ck1|3ck2
Profundidad muestra|cm|0|28|45|65|95|140
Mat. orgánica|%|2.47|0.86|0.41|0.24|0.19|0.19
C orgánico|%|1.43|0.50|0.24|0.14|0.11|0.11
N total|%|0.161|0.073|0.034|0.025|---|---
Relación C/N|---|9|7|7|6|---|---
Arcilla < 2µ|%|14.8|17.3|7.6|8.1|9.2|7.6
Limo 2-50µ|%|69.3|70.5|79.1|73.4|68.2|74.6
Arena >50µ|%|15.9|12.2|13.3|18.5|22.6|17.8
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%||||||
Arena:|||||||
Muy fina 50-100µ|%|14.1|11.1|11.9|17.1|20.0|15.9
Fina 100-250µ|%|1.8|1.1|1.4|1.4|2.6|1.9
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|2.5|11.8|1.1|0.2|3.4
Equiv.humedad|%|28.0|57.0|38.8|35.5|28.2|25.6
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.1|8.9|9.1|8.9|8.7|8.8
pH agua (1:2,5)|---|6.3|9.2|9.4|9.2|9.0|9.2
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|5.9|---|---|---|---|---
Mg++ intercambio|me/100g|2.2|---|---|---|---|---
Na+ intercambio|me/100g|3.4|13.4|11.4|10.3|8.0|4.1
K+ intercambio|me/100g|2.0|4.5|4.2|3.7|3.3|2.9
H+ intercambio|me/100g|6.3|---|---|---|---|---
(Na+/T)|%|22.5|45.6|41.9|45.2|44.2|26.5
C.I.C., (T)|me/100g|15.1|29.4|27.2|22.8|18.1|15.5
Suma bases (S)|me/100g|13.5|---|---|---|---|---
Sat.bases, (S/T)|%|89|---|---|---|---|---
