horizonte||e|bt1|bt2|bc|c
Profundidad|cm|0-13|13-43|43-79|79-105|105-195
muestra|cm|13|43|79|105|195
Mat. orgánica|%|4.52|1.07|0.66|0.34|0.10
C orgánico|%|2.62|0.62|0.38|0.20|0.06
N total|%|0.180|0.055|0.044|0.035|0.020
Relación C/N|---|15|11|9|6|3
Arcilla < 2µ|%|27.0|45.0|45.0|41.5|28.9
Limo 2-50µ|%|69.6|52.8|52.7|56.1|62.5
Arena >50µ|%|3.4|2.2|2.3|2.4|8.6
TOTAL|%|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|52.6|34.6|33.1|31.9|35.9
Arena:||||||
Muy fina 50-100µ|%|2.6|1.8|1.6|1.8|5.4
Fina 100-250µ|%|0.7|0.4|0.7|0.5|3.2
Media 250-500µ|%|0.1|0.0|0.0|0.1|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---
Resist.pasta|ohms|438|644|814|669|741
Conductividad|mmhos/cm|5.6|3.9|4.7|3.9|1.3
pH pasta (1:1)|---|7.0|8.1|7.9|8.4|8.4
pH agua (1:2,5)|---|7.3|8.4|8.5|8.9|8.8
pH 1N ClK (1:2,5)|---|6.2|6.6|6.5|6.7|6.5
Ca++ intercambio|me/100g|11.3|14.9|16.8|16.2|10.9
Mg++ intercambio|me/100g|2.1|3.0|2.8|1.3|4.1
Na+ intercambio|me/100g|4.2|6.2|6.2|8.6|8.3
K+ intercambio|me/100g|1.3|1.7|2.1|2.4|2.3
H+ intercambio|me/100g|1.7|0.0|0.0|0.0|0.0
(Na+/T)|%|21.5|24.0|22.9|31.4|32.8
C.I.C., (T)|me/100g|19.5|25.8|27.1|27.4|25.3
Suma bases (S)|me/100g|18.9|25.8|27.9|28.5|25.6
Sat.bases, (S/T)|%|97|100|103|104|101
