horizonte||a|e|bt1|bt2|bc|c
Profundidad|cm|5|25|40|70|89|115
muestra|cm|17|33|50|79|97|125
Mat. orgánica|%|3.71|0.52|0.48|0.47|0.38|---
C orgánico|%|2.15|0.30|0.28|0.27|0.22|---
N total|%|0.189|---|---|---|---|---
Relación C/N|---|11|---|---|---|---|---
Arcilla < 2µ|%|24.3|14.8|38.0|33.8|23.7|21.0
Limo 2-50µ|%|57.7|57.3|49.7|43.6|45.5|47.8
Arena >50µ|%|18.0|27.9|12.3|22.6|30.8|31.2
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---
Arena:|||||||
Muy fina 50-100µ|%|17.0|26.3|11.8|21.2|28.7|28.5
Fina 100-250µ|%|1.0|1.6|0.5|1.4|2.1|2.7
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|vest.|vest.|vest.|vest.
Equiv.humedad|%|29.1|24.5|48.5|52.1|32.6|27.8
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|5.7|6.9|7.6|8.3|8.6|8.7
pH agua (1:2,5)|---|6.5|7.8|8.6|9.3|9.3|9.3
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|7.4|3.8|---|---|---|---
Mg++ intercambio|me/100g|3.8|3.3|---|---|---|---
Na+ intercambio|me/100g|0.4|0.9|6.4|10.5|8.9|7.7
K+ intercambio|me/100g|2.6|1.8|3.2|3.8|3.7|3.5
H+ intercambio|me/100g|7.6|2.5|---|---|---|---
(Na+/T)|%|2.3|9.8|25.8|35.1|37.9|38.9
C.I.C., (T)|me/100g|17.7|9.2|24.8|29.9|23.5|19.8
Suma bases (S)|me/100g|14.2|9.8|---|---|---|---
Sat.bases, (S/T)|%|80|107|---|---|---|---
