horizonte||a|e|bt1|bt2|bt3|bc|c
Profundidad|cm|0-16|16-22|22-45|45-70|70-91|97-150|150-190
Mat. orgánica|%|2.76|1.38|1.21|0.52|0.17|---|---
C orgánico|%|1.60|0.80|0.70|0.30|0.10|---|---
N total|%|0.153|0.080|0.060|0.040|---|---|---
Relación C/N|---|10|10|12|8|---|---|---
Arcilla < 2µ|%|25.0|23.8|46.0|48.2|44.8|39.3|28.1
Limo 2-50µ|%|64.6|66.9|46.6|46.3|49.3|53.7|63.6
Arena >50µ|%|10.4|9.3|6.5|5.5|5.9|7.0|8.3
TOTAL|%|100.0|100.0|99.1|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---|---
Arena:||||||||
Muy fina 50-100µ|%|6.6|6.0|4.4|4.0|3.9|5.2|5.9
Fina 100-250µ|%|2.5|2.7|1.6|1.3|1.5|1.5|2.0
Media 250-500µ|%|1.3|0.6|0.5|0.2|0.5|0.3|0.4
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|3 818|5 345|725|725|916|1 013|1 063
Conductividad|mmhos/cm|---|---|2.0|1.6|1.0|---|---
pH pasta (1:1)|---|5.3|5.4|6.9|7.5|7.9|7.9|8.1
pH agua (1:2,5)|---|5.4|5.6|7.4|7.7|8.4|8.2|8.3
pH 1N ClK (1:2,5)|---|4.9|4.9|5.9|6.1|6.2|6.2|6.3
Ca++ intercambio|me/100g|8.7|6.2|15.1|16.3|13.8|11.4|11.3
Mg++ intercambio|me/100g|2.0|1.9|2.0|3.0|1.9|2.0|1.8
Na+ intercambio|me/100g|1.2|1.1|4.1|4.4|4.3|4.3|4.6
K+ intercambio|me/100g|0.6|0.3|1.0|1.1|1.3|1.1|1.3
H+ intercambio|me/100g|2.2|1.9|0.0|0.0|0.0|0.0|0.0
(Na+/T)|%|6.4|10.8|16.6|19.0|22.4|23.2|23.4
C.I.C., (T)|me/100g|18.7|10.2|24.7|23.1|19.2|18.5|19.7
Suma bases (S)|me/100g|12.5|9.5|22.2|24.8|21.3|18.8|19.0
Sat.bases, (S/T)|%|67|93|90|107|111|102|96
