horizonte||e1|e2|bt1|bt2|bc|c
Profundidad muestra|cm|0-31|31-58|58-92|92-135|135-171|171-205
Mat. orgánica|%|3.17|1.45|0.60|0.26|0.26|0.10
C orgánico|%|1.84|0.84|0.35|0.15|0.15|0.06
N total|%|0.127|0.061|0.046|0.032|0.03|0.03
Relación C/N|---|14|14|8|5|5|2
Arcilla < 2µ|%|34.5|34.1|44.3|52.6|43.6|45.5
Limo 2-50µ|%|62.9|62.9|53.5|45.7|53.8|51.8
Arena >50µ|%|2.6|3.0|2.2|1.7|2.6|2.7
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|43.9|43|34.2|31.6|35.2|32.8
Arena:|||||||
Muy fina 50-100µ|%|2.0|2.4|1.7|1.3|1.9|1.9
Fina 100-250µ|%|0.6|0.6|0.5|0.4|0.7|0.8
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|---|---|---|---|---|---
Resist.pasta|ohms|1 386|1 253|612|684|1 290|1 124
Conductividad|mmhos/cm|---|2.2|1.9|1.9|---|---
pH pasta (1:1)|---|5.8|5.8|6.2|6.3|6.3|6.2
pH agua (1:2,5)|---|6.0|6.0|6.4|6.7|6.6|6.6
pH 1N ClK (1:2,5)|---|5.0|4.9|5.1|5.2|5.0|5.1
Ca++ intercambio|me/100g|13.4|12.2|13.8|21.5|18.1|17.3
Mg++ intercambio|me/100g|1.0|0.8|0.8|1.0|4.3|5.3
Na+ intercambio|me/100g|1.6|1.7|1.9|2.5|2.0|1.9
K+ intercambio|me/100g|1.2|1.0|1.9|2.1|2.0|2.0
H+ intercambio|me/100g|3.4|3.4|2.6|2.7|3.5|3.5
(Na+/T)|%|7.5|8.5|8.4|8.4|7.0|6.6
C.I.C., (T)|me/100g|21.2|20.1|22.5|29.6|28.5|28.6
Suma bases (S)|me/100g|17.2|15.7|18.4|27.1|26.4|26.5
Sat.bases, (S/T)|%|81|78|82|92|93|93
