horizonte||a|e|bt1|bt2|bcm|cm
Profundidad muestra|cm|5-15|28-32|37-60|70-80|90-110|120-170
Mat. orgánica|%|3.69|1.31|0.74|0.33|0.22|0.17
C orgánico|%|2.14|0.76|0.43|0.19|0.13|0.10
N total|%|0.179|0.081|0.067|0.045|0.03|0.03
Relación C/N|---|12|9|6|4|4|3
Arcilla < 2µ|%|25.7|19.3|30.2|21.2|14.3|11.6
Limo 2-50µ|%|69.2|73.9|65.4|71.2|72.4|72.5
Arena >50µ|%|5.6|7.7|5.3|7.3|13.2|14.8
TOTAL|%|100.5|100.9|100.9|99.7|99.9|98.9
Limo 2-20µ|%|----|----|----|----|----|----
Arena:|||||||
Muy fina 50-100µ|%|5.0|7.0|5.1|6.9|7.0|6.4
Fina 100-250µ|%|0.6|0.7|0.2|0.3|2.4|4.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|1.3|1.3
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.1|2.4|2.6
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.1|0.2
Calcáreo, CaCO3|%|0.0|0.0|0.0|1.2|2.5|4.2
Equiv.humedad|%|29.0|23.9|32.7|31.8|29.1|26.7
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|6.6|6.7|7.1|7.9|8.0|8.0
pH agua (1:2,5)|---|6.8|7.1|7.3|8.3|8.5|8.6
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|11.5|8.6|19.4|---|---|---
Mg++ intercambio|me/100g|2.6|2.0|3.8|---|---|---
Na+ intercambio|me/100g|0.6|0.4|1.0|0.7|1.7|1.7
K+ intercambio|me/100g|2.6|1.6|3.6|2.5|3.9|2.8
H+ intercambio|me/100g|---|---|---|---|---|---
(Na+/T)|%|3.3|2.9|3.5|2.2|6.0|6.4
C.I.C., (T)|me/100g|18.4|14.0|28.4|32.0|28.4|26.6
Suma bases (S)|me/100g|17.3|12.6|27.8|---|---|---
Sat.bases, (S/T)|%|94|90|98|---|---|---
