horizonte||ap|ba|bt1|bt2|bt3|bc|c|ck
Profundidad|cm|0|18|27|48|76|104|128|180
muestra|cm|18|27|48|76|104|128|180|210
Mat. orgánica|%|2.55|2.29|1.22|1.00|0.50|0.28|0.16|0.10
C orgánico|%|1.48|1.33|0.71|0.58|0.29|0.16|0.09|0.06
N total|%|---|---|---|---|---|---|---|---
Relación C/N|---|---|---|---|---|---|---|---|---
Arcilla < 2µ|%|19.9|28.6|33.1|46.9|38.1|29.2|20.1|21.5
Limo 2-50µ|%|69.9|64.4|61.7|49.6|55.8|62.8|67.8|68.2
Arena >50µ|%|10.2|7.0|5.2|3.5|6.1|8.0|11.6|8.2
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|99.5|97.9
Limo 2-20µ|%|---|---|---|---|---|---|---|---
Arena:|||||||||
Muy fina 50-100µ|%|8.2|5.5|4.2|2.5|4.6|6.9|9.8|6.9
Fina 100-250µ|%|2.0|1.5|1.0|1.0|1.5|1.1|1.8|1.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.5|2.1
Equiv.humedad|%|25.7|27.5|29.5|35.6|35.0|29.8|26.5|29.3
Resist.pasta|ohms|---|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.8|5.7|5.8|6.0|6.2|6.3|6.7|7.7
pH agua (1:2,5)|---|6.2|6.4|6.6|7.0|7.1|6.8|7.5|8.2
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|9.3|11.8|12.4|15.9|16.5|15.2|---|---
Mg++ intercambio|me/100g|2.2|3.4|4.5|7.9|8.3|5.6|---|---
Na+ intercambio|me/100g|0.2|0.3|0.3|0.4|0.4|0.4|0.5|0.8
K+ intercambio|me/100g|1.3|0.6|0.9|1.9|2.3|2.3|2.4|2.5
H+ intercambio|me/100g|6.4|6.0|5.2|5.5|5.5|4.0|---|---
(Na+/T)|%|1.2|1.6|1.4|1.3|1.3|1.6|2.7|3.9
C.I.C., (T)|me/100g|16.7|19.3|21.4|30.6|29.8|24.7|18.8|20.6
Suma bases (S)|me/100g|13.0|16.1|18.1|26.1|27.5|23.5|---|---
Sat.bases, (S/T)|%|78|83|85|85|92|95|---|---
