horizonte||a|bt1|bt2|bt3|bc
Profundidad muestra|cm|0 - 13|13 - 47|47 - 70|70 - 105|+ 105
Mat. orgánica|%|4.53|0.98|0.55|0.50|0.22
C orgánico|%|2.63|0.57|0.32|0.29|0.13
N total|%|0.167|0.078|0.054|0.050|0.037
Relación C/N|---|16|7|6|6|4
Arcilla < 2µ|%|22.4|35.2|29.4|---|---
Limo 2-50µ|%|70.0|62.1|66.4|---|---
Arena >50µ|%|7.6|2.5|3.4|---|---
TOTAL|%|100.0|99.8|99.2|---|---
Limo 2-20µ|%|---|---|---|---|---
Arena:||||||
Muy fina 50-100µ|%|6.2|2.2|2.9|---|---
Fina 100-250µ|%|1.4|0.3|0.5|---|---
Media 250-500µ|%|0.0|0.0|0.0|---|---
Gruesa 500-1000µ|%|0.0|0.0|0.0|---|---
Muy gruesa 1-2mm|%|0.0|0.0|0.0|---|---
Calcáreo, CaCO3|%|0.00|0.00|2.35|3.29|1.85
Equiv.humedad|%|35.0|45.0|39.8|46.7|47.8
Resist.pasta|ohms|---|---|---|---|---
Conductividad|mmhos/cm|7.1|17.2|21.1|20.1|17.2
pH pasta (1:1)|---|7.0|7.3|7.6|7.7|7.8
pH agua (1:2,5)|---|7.5|7.7|8.0|8.0|8.1
pH 1N ClK (1:2,5)|---|---|---|---|---|---
Ca++ intercambio|me/100g|13.6|---|---|---|---
Mg++ intercambio|me/100g|3.1|---|---|---|---
Na+ intercambio|me/100g|3.1|---|---|---|---
K+ intercambio|me/100g|2.2|---|---|---|---
H+ intercambio|me/100g|0.8|---|---|---|---
(Na+/T)|%|13.6|---|---|---|---
C.I.C., (T)|me/100g|22.8|28.0|23.0|27.0|27.9
Suma bases (S)|me/100g|22.0|---|---|---|---
Sat.bases, (S/T)|%|96|---|---|---|---
Comp. Extr. Sat.||||||
Ca++|me/l|9.7|25.9|27.5|28.5|25.0
Mg++|me/l|12.8|26.7|27.5|23.7|20.5
Na+|me/l|45.0|170.0|200.0|200.0|182.0
K+|me/l|2.0|3.2|2.8|2.2|2.9
CO3-|me/l|9.2|3.0|2.2|2.2|1.5
SO4=|me/l|49.3|160.0|187.0|182.0|176.0
Cl-|me/l|12.0|64.0|66.6|68.8|52.8
RAS|---|13|33|38|39|38
