horizonte||a1|e|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0|30|39|63|90|135|175|220
Mat. orgánica|%|2.41|1.21|1.03|0.52|0.17|0.17|0.17|0.17
C orgánico|%|1.40|0.70|0.60|0.30|0.10|0.10|0.10|0.10
N total|%|0.114|0.063|0.069|0.041|0.030|0.024|0.023|0.018
Relación C/N|---|12|11|9|7|3|4|4|6
Arcilla < 2µ|%|24.9|29.3|54.1|44.6|29.5|19.4|17.6|---
Limo 2-50µ|%|65.4|61.5|39.7|48.6|62.2|70.1|72.2|---
Arena >50µ|%|9.7|9.2|6.2|6.8|8.3|10.5|10.2|13.5
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0|---
Limo 2-20µ|%|35.5|33.2|22.1|22.7|30.3|35.7|35.5|---
Arena:|||||||||
Muy fina 50-100µ|%|6.4|6.1|4.3|4.6|6.4|6.9|6.7|8.8
Fina 100-250µ|%|2.7|2.6|1.6|1.8|1.7|3.1|3.1|4.2
Media 250-500µ|%|0.6|0.5|0.3|0.4|0.2|0.5|0.4|0.5
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.2
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.6|6.5|6.5|6.5|6.6|7.2|7.2|7.9
pH agua (1:2,5)|---|6.9|6.8|6.7|7.0|7.1|7.3|7.3|8.1
pH 1N ClK (1:2,5)|---|5.7|5.5|5.3|5.6|5.6|5.5|5.8|7.1
Ca++ intercambio|me/100g|10.9|11.0|17.4|15.4|13.9|14.3|15.7|16.0
Mg++ intercambio|me/100g|1.6|1.5|6.8|6.8|4.0|2.9|3.6|2.9
Na+ intercambio|me/100g|0.4|0.4|0.7|0.6|0.6|0.6|0.6|1.3
K+ intercambio|me/100g|1.5|1.0|2.0|1.9|1.7|1.5|1.5|1.4
H+ intercambio|me/100g|3.0|3.0|2.1|1.0|1.0|1.0|1.0|0.0
(Na+/T)|%|2.4|2.4|2.4|2.4|2.6|2.9|2.8|5.9
C.I.C., (T)|me/100g|16.6|16.7|29.6|25.2|22.7|20.5|21.1|22.0
Suma bases (S)|me/100g|14.4|13.9|26.9|24.7|20.2|19.3|21.4|21.6
Sat.bases, (S/T)|%|87|83|91|98|89|94|101|98
