horizonte||ap|a|e|bt1|bt1|bt2|bc|c|ck
Profundidad muestra|cm|5 - 10|17 - 23|28 - 32|40 - 55|65 - 80|90 - 100|110 - 115|140 - 160|180 - 190
Mat. orgánica|%|2.76|2.10|1.28|1.00|0.74|0.40|0.31|0.24|0.17
C orgánico|%|1.60|1.22|0.74|0.58|0.43|0.23|0.18|0.14|0.10
N total|%|0.173|0.129|0.083|0.082|0.063|0.051|0.035|0.031|---
Relación C/N|---|9|9|9|7|7|5|5|5|---
Arcilla < 2µ|%|24.0|28.0|23.8|34.5|36.5|31.8|25.3|19.5|21.0
Limo 2-50µ|%|72.2|68.7|72.3|62.6|60.7|65.2|70.0|75.2|73.9
Arena >50µ|%|3.8|3.3|3.9|2.9|2.8|3.0|4.7|5.3|5.1
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---|---|---|---
Arena:||||||||||
Muy fina 50-100µ|%|2.8|2.9|3.6|2.7|2.5|2.6|3.8|3.4|4.1
Fina 100-250µ|%|0.8|0.3|0.2|0.1|0.2|0.3|0.8|1.8|0.9
Media 250-500µ|%|0.2|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.8
Equiv.humedad|%|29.0|29.2|26.5|35.2|38.4|37.7|34.8|31.1|39.8
Resist.pasta|ohms|3 417|4 334|4 589|1 184|729|547|682|1 174|1 413
Conductividad|mmhos/cm|---|---|---|---|1.1|2.0|1.4|---|---
pH pasta (1:1)|---|5.6|5.6|5.9|6.8|7.1|7.4|7.4|7.3|7.9
pH agua (1:2,5)|---|5.7|5.7|6.1|7.4|7.8|8.0|8.1|8.0|8.6
pH 1N ClK (1:2,5)|---|5.5|5.4|5.6|5.8|6.4|6.5|6.5|6.3|6.9
Ca++ intercambio|me/100g|9.8|9.2|7.7|14.3|16.4|15.9|14.6|12.0|9.0
Mg++ intercambio|me/100g|2.6|1.8|1.0|2.5|3.2|4.2|4.0|4.3|5.1
Na+ intercambio|me/100g|0.3|0.7|1.0|3.9|4.6|5.1|5.1|4.1|3.6
K+ intercambio|me/100g|2.3|1.6|1.2|2.9|3.6|3.7|3.4|3.5|3.4
H+ intercambio|me/100g|5.1|5.1|3.1|3.1|1.6|1.6|1.7|0.5|---
(Na+/T)|%|1.6|4.1|6.5|14.6|15.6|17.6|18.6|17.4|17.6
C.I.C., (T)|me/100g|18.9|17.1|15.3|26.8|29.5|28.9|27.4|23.6|20.4
Suma bases (S)|me/100g|15.0|13.3|10.9|23.6|27.8|28.9|27.1|23.9|21.1
Sat.bases, (S/T)|%|79|78|71|88|94|100|99|101|103
