horizonte||ap|be|bt1|bt2|bc|c
Profundidad muestra|cm|0 - 18|18 - 37|37 - 65|65 - 85|85 - 100|100 +
Mat. orgánica|%|3.99|1.50|1.02|0.71|0.47|0.34
C orgánico|%|2.3|0.87|0.59|0.41|0.27|0.20
N total|%|0.174|0.083|0.067|0.06|0.049|0.04
Relación C/N|---|13|10|9|6|6|5
Arcilla < 2µ|%|23.5|31.6|36.4|46.8|41.3|
Limo 2-50µ|%|47.1|42.2|39.7|35.5|41.1|
Arena >50µ|%|29.4|26.2|23.9|17.7|17.6|
TOTAL|%|100|100|100|100|100|
Limo 2-20µ|%|24|21|21|21.8|24.7|
Arena:|||||||
Muy fina 50-100µ|%|16.5|14.6|13.|9.4|10.4|
Fina 100-250µ|%|11.3|10.4|9.5|6.7|6|
Media 250-500µ|%|1.4|1.2|1.3|1.3|1|
Gruesa 500-1000µ|%|0.1|0.09|0.1|0.3|0.23|
Muy gruesa 1-2mm|%|----|0.05|----|0.06|----|
Calcáreo, CaCO3|%||||||
Equiv. humedad|%||||||
Resist. pasta|ohms|523|430|302|443|337|506
Conductividad|mmhos/cm|7.0|6.6|8.7|4.1|5.4|7.6
pH pasta (1:1)|---|6.7|7.3|7.4|7.5|7.3|7.4
pH agua (1:2,5)|---|6.9|7.6|7.6|7.5|7.4|7.6
pH 1N ClK (1:2,5)|---|6.3|6.5|6.5|6.5|6.3|6.6
Ca++ intercambio|me/100g|8.94|10.26|12.77|-.-|23.83|18.72
Mg++ intercambio|me/100g|2.61|2.44|2.26|0.81|1.77|0.94
Na+ intercambio|me/100g|1.08|2.7|2.1|2.7|1.80|0.90
K+ intercambio|me/100g|0.46|0.61|0.76|1.06|1.06|0.91
H+ intercambio|me/100g||||||
(Na+/T)|%|5.25|11.77|11.13|10.33|7.71|4.33
C.I.C., (T)|me/100g|20.57|22.93|18.86|26.14|23.36|20.79
Suma bases (S)|me/100g|15.32|17.5|19.38|----|29.95|22.58
Sat. bases, (S/T)|%|74|76|102||128|108
